city,date,station,trips
Mountain View,17/10/2013,27,1
Mountain View,17/10/2013,28,6
Mountain View,17/10/2013,29,1
Mountain View,17/10/2013,30,1
Mountain View,17/10/2013,33,1
Mountain View,18/10/2013,27,6
Mountain View,18/10/2013,28,9
Mountain View,18/10/2013,29,1
Mountain View,18/10/2013,30,3
Mountain View,18/10/2013,33,1
Mountain View,19/10/2013,27,3
Mountain View,19/10/2013,28,3
Mountain View,19/10/2013,29,1
Mountain View,19/10/2013,33,3
Mountain View,20/10/2013,27,3
Mountain View,20/10/2013,28,1
Mountain View,20/10/2013,29,1
Mountain View,20/10/2013,30,2
Mountain View,20/10/2013,33,3
Mountain View,21/10/2013,27,3
Mountain View,21/10/2013,28,10
Mountain View,21/10/2013,30,1
Mountain View,21/10/2013,33,2
Mountain View,22/10/2013,27,4
Mountain View,22/10/2013,28,5
Mountain View,22/10/2013,29,1
Mountain View,22/10/2013,30,1
Mountain View,22/10/2013,33,1
Mountain View,23/10/2013,27,6
Mountain View,23/10/2013,28,6
Mountain View,23/10/2013,29,1
Mountain View,23/10/2013,30,1
Mountain View,24/10/2013,27,2
Mountain View,24/10/2013,28,6
Mountain View,24/10/2013,29,4
Mountain View,24/10/2013,30,1
Mountain View,24/10/2013,33,1
Mountain View,25/10/2013,27,7
Mountain View,25/10/2013,28,7
Mountain View,25/10/2013,33,4
Mountain View,26/10/2013,28,4
Mountain View,27/10/2013,28,1
Mountain View,27/10/2013,30,1
Mountain View,28/10/2013,27,4
Mountain View,28/10/2013,28,8
Mountain View,28/10/2013,30,1
Mountain View,29/10/2013,27,3
Mountain View,29/10/2013,28,7
Mountain View,29/10/2013,30,1
Mountain View,29/10/2013,33,2
Mountain View,30/10/2013,27,7
Mountain View,30/10/2013,28,5
Mountain View,30/10/2013,29,1
Mountain View,30/10/2013,30,2
Mountain View,31/10/2013,27,3
Mountain View,31/10/2013,28,6
Mountain View,31/10/2013,29,2
Mountain View,31/10/2013,30,1
Mountain View,01/11/2013,27,5
Mountain View,01/11/2013,28,7
Mountain View,01/11/2013,29,1
Mountain View,01/11/2013,30,2
Mountain View,02/11/2013,27,1
Mountain View,02/11/2013,30,1
Mountain View,03/11/2013,27,1
Mountain View,03/11/2013,28,1
Mountain View,03/11/2013,29,3
Mountain View,03/11/2013,30,1
Mountain View,03/11/2013,33,2
Mountain View,04/11/2013,27,5
Mountain View,04/11/2013,28,11
Mountain View,04/11/2013,29,1
Mountain View,04/11/2013,30,1
Mountain View,04/11/2013,33,1
Mountain View,05/11/2013,27,5
Mountain View,05/11/2013,28,7
Mountain View,06/11/2013,27,6
Mountain View,06/11/2013,28,15
Mountain View,06/11/2013,29,1
Mountain View,06/11/2013,30,2
Mountain View,07/11/2013,27,6
Mountain View,07/11/2013,28,11
Mountain View,07/11/2013,29,2
Mountain View,07/11/2013,30,1
Mountain View,07/11/2013,33,1
Mountain View,08/11/2013,27,8
Mountain View,08/11/2013,28,7
Mountain View,08/11/2013,29,6
Mountain View,08/11/2013,30,4
Mountain View,08/11/2013,33,3
Mountain View,09/11/2013,28,1
Mountain View,09/11/2013,30,1
Mountain View,10/11/2013,27,4
Mountain View,10/11/2013,28,2
Mountain View,10/11/2013,33,1
Mountain View,11/11/2013,27,4
Mountain View,11/11/2013,28,13
Mountain View,11/11/2013,29,1
Mountain View,11/11/2013,30,1
Mountain View,11/11/2013,33,1
Mountain View,12/11/2013,27,4
Mountain View,12/11/2013,28,8
Mountain View,12/11/2013,30,2
Mountain View,12/11/2013,33,1
Mountain View,13/11/2013,27,7
Mountain View,13/11/2013,28,14
Mountain View,13/11/2013,29,2
Mountain View,14/11/2013,27,5
Mountain View,14/11/2013,28,11
Mountain View,14/11/2013,29,3
Mountain View,14/11/2013,30,2
Mountain View,14/11/2013,33,2
Mountain View,15/11/2013,27,6
Mountain View,15/11/2013,28,6
Mountain View,15/11/2013,29,1
Mountain View,15/11/2013,30,2
