id;point;convert_point;name;oldName;isActive;station;institute;trackNo;usableLength;trackSurface;frameType;frontLength;lighting;plkId;isEsriStation
996;0xE6100000010C500AE919D0464A4060C4F24C87AF3040;POINT (16.685658273000058 52.553225745000077);Pamiątkowo;Pamiątkowo;tak;" ";Poznań;" ";" ";" ";" ";" ";" ";28944;1
997;0xE6100000010CD09376333B2D4A40E0B081A269AD3040;POINT (16.677393109000036 52.353369172000043);Dopiewo;Dopiewo;tak;" ";Poznań;" ";" ";" ";" ";" ";" ";27268;1
998;0xE6100000010CD884F2E05C2C4A40400C17A00A983040;POINT (16.593912130000035 52.346584433000032);Otusz;Skrzynki;tak;" ";Poznań;" ";" ";" ";" ";" ";" ";27250;1
999;0xE6100000010C0882F613232C4A4000D7B32C87863040;POINT (16.525500101000034 52.344820495000079);Buk;Buk;tak;Buk;Poznań;11;331;R-390,5;boczno - czołowa;20;jest;27235;1
1000;0xE6100000010CC0C43D0814554A4040781508F17C3040;POINT (16.488052850000031 52.664673834000041);Pęckowo;Pęckowo;tak;" ";Poznań;" ";" ";" ";" ";" ";" ";28951;1
1001;0xE6100000010CF8CBF95F77524A4030AA39ABCB2A3040;POINT (16.167170240000075 52.64426803300006);Ryżyn;Ryżyn;nie;" ";Poznań;" ";" ";" ";" ";" ";" ";28902;1
1002;0xE6100000010C60FE2ECCFF514A40409E02DFBB6B3040;POINT (16.420835436000061 52.640618823000068);Dobrojewo;Dobrojewo;nie;" ";Poznań;" ";" ";" ";" ";" ";" ";28852;1
1003;0xE6100000010CE8E03BCCFF514A4020DED2F53A613040;POINT (16.379805912000052 52.640618829000061);Bibino;Bibino;nie;" ";Poznań;" ";" ";" ";" ";" ";" ";28860;1
1004;0xE6100000010C902E639B78504A4020EE17B124753040;POINT (16.457591122000053 52.628680633000045);Ostroróg;Ostroróg;nie;" ";Poznań;" ";" ";" ";" ";" ";" ";28837;1
1005;0xE6100000010CE8940DF994504A401022A03C58093040;POINT (16.036502637000069 52.629546291000054);Kłosowice;Kłosowice;nie;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";28928;1
1006;0xE6100000010C38B6F28D864D4A40902AD199814F3040;POINT (16.310571302000028 52.605668777000062);Nojewo;Nojewo;nie;" ";Poznań;" ";" ";" ";" ";" ";" ";28878;1
1007;0xE6100000010CB0A73F30844C4A40603D6AFDC1463040;POINT (16.276397551000059 52.597784072000081);Kikowo;Kikowo;nie;" ";Poznań;" ";" ";" ";" ";" ";" ";28886;1
1008;0xE6100000010CF835EF2BDB4F4A4060E1D2822EED2F40;POINT (15.963245476000054 52.623876087000042);Stary Zatom;Stary Zatom;nie;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";26963;1
1009;0xE6100000010CF035537A564D4A40405430F0FDD12F40;POINT (15.910140520000027 52.604201594000074);Międzychód Letnisko;Międzychód Letnisko;nie;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";26948;1
1010;0xE6100000010C703C2ED08C4C4A40E05DD9DFBBC32F40;POINT (15.88229274300005 52.598047278000081);Międzychód;Międzychód;nie;Międzychód;Zielona Góra;9;272;P - 2722;" ";177;nie ma;26906;1
1011;0xE6100000010C08FB0DE5944B4A4060CE2BCCB2FF2E40;POINT (15.499410992000037 52.590481407000027);Skwierzyna;Skwierzyna;tak;Skwierzyna;Zielona Góra;7;240;P - 1 000;" ";165;jest;26500;1
