sv_kod;kod;plk;stacja;opiskod1;pelna;dzielnica;szerokosc;dlugosc;miasto;ulica;kod_p;gmina;kraj;wojewodztwo;nrposesjiwpis;promien;jednorazowy;kod_pracy;uwagi;blok
NULL;"""BO """"AUTOSTRADA"""" (";NULL;NULL;"""BO """"AUTOSTRADA"""" (STACJA)""";NULL;NULL;NULL;NULL;"""BO """"AUTOSTRADA""""";NULL;NULL;NULL;NULL;NULL;NULL;2000.000;NULL;NULL;NULL;NULL
NULL;"""BUSKO ZDRÓJ """"Z"""" (";NULL;NULL;"""BUSKO ZDRÓJ """"Z"""" (STACJA)""";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ADAMOWICE (D);NULL;NULL;ADAMOWICE (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ADAMOWICE (S);NULL;NULL;ADAMOWICE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ADAMÓW (D);NULL;NULL;ADAMÓW (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000091589;ADAMÓW (S);NULL;NULL;ADAMÓW (STACJA);33, 22-363 Adamów, Polska;NULL;51.11278910;23.32064290;ADAMÓW;NULL;22-360;gmina Rejowiec;POLSKA;LUBELSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
NULL;ALBERTÓW (D);NULL;NULL;ALBERTÓW (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ALBERTÓW (S);NULL;NULL;ALBERTÓW (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ALBIGOWA (D);NULL;NULL;ALBIGOWA (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000084600;ALBIGOWA (S);NULL;NULL;ALBIGOWA (STACJA);Łańcut, Albigowa, Powiat łańcucki, Poland;NULL;50.01425000;22.22414000;ALBIGOWA;NULL;NULL;Powiat łańcucki;Poland;Podkarpackie;NULL;500.000;NULL;NULL;NULL;NULL
NULL;ALEKSANDRÓW (D);NULL;NULL;ALEKSANDRÓW (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000084700;ALEKSANDRÓW (S);NULL;NULL;ALEKSANDRÓW (STACJA);ALEKSANDRÓW (STACJA) 46-320 woj.OPOLSKIE;NULL;51.09166640;18.47875350;KOWALE;NULL;46-320;NULL;POLSKA;OPOLSKIE;NULL;500.000;NULL;NULL;l;NULL
SV0000084652;ALEKSANDRÓW KUJ (S);21501;ALEKSANDRÓW KUJAWSKI;ALEKSANDRÓW KUJAWSKI (STACJA);Dworzec PKP Aleksandrów Kujawski, Wojska Polskiego 2, 87-700 Aleksandrów Kujawski, Polska;Świstucha;52.87627930;18.69624950;ALEKSANDRÓW KUJAWSKI;Wojska Polskiego;87-700;Aleksandrów Kujawski;POLSKA;KUJAWSKO-POMORSKIE;NULL;500.000;NULL;NULL;l;T
NULL;ALEKSANDRÓWEK (D);NULL;NULL;ALEKSANDRÓWEK (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ALEKSANDRÓWEK (S);NULL;NULL;ALEKSANDRÓWEK (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ANDRESPOL (D);NULL;NULL;ANDRESPOL (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ANDRESPOL (S);NULL;NULL;ANDRESPOL (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000085900;ANDRYCHÓW (S);NULL;NULL;ANDRYCHÓW (STACJA);ANDRYCHÓW KRAKOWSKA woj.MAŁOPOLSKIE;NULL;49.85497000;19.33834000;ANDRYCHÓW;KRAKOWSKA;34-120;NULL;POLSKA;MAŁOPOLSKIE;NULL;500.000;NULL;NULL;NULL;NULL
NULL;ANDRYCHÓW GÓRN (S);NULL;NULL;ANDRYCHÓW GÓRNICA (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ANDRZEJÓWKA (D);NULL;NULL;ANDRZEJÓWKA (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ANDRZEJÓWKA (M);NULL;NULL;ANDRZEJÓWKA (MIASTO);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ANDRZEJÓWKA (S);NULL;NULL;ANDRZEJÓWKA (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ANIELIN GRADOWO (S);NULL;NULL;ANIELIN GRADOWO (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000086140;ANIELINY (S);18242;ANIELINY;ANIELINY (STACJA);ANIELINY (STACJA) 89-110 woj.KUJAWSKO-POMORSKIE;NULL;53.12905700;17.48634364;ANIELINY;NULL;89-110;NULL;POLSKA;KUJAWSKO-POMORSKIE;NULL;500.000;NULL;NULL;l;NULL
SV0000084601;ANNOLESIE (S);NULL;NULL;ANNOLESIE (STACJA);ANNOLESIE (STACJA) 97-438 woj.ŁÓDZKIE;NULL;51.30238000;18.91093000;ANNOLESIE;NULL;97-438;NULL;POLSKA;ŁÓDZKIE;NULL;500.000;NULL;NULL;l;NULL
NULL;ANNOPOL (D);NULL;NULL;ANNOPOL (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ANNOPOL (S);NULL;NULL;ANNOPOL (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ANNOPOLE (D);NULL;NULL;ANNOPOLE (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ANNOPOLE (S);NULL;NULL;ANNOPOLE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ANTONIN (D);NULL;NULL;ANTONIN (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000087697;ANTONIN (S);46011;ANTONIN;ANTONIN (STACJA);ANTONIN KOLEJOWA woj.WIELKOPOLSKIE Stacja:ANTONIN;NULL;51.51407216;17.85982698;ANTONIN;KOLEJOWA;63-421;NULL;POLSKA;WIELKOPOLSKIE;NULL;500.000;NULL;NULL;NULL;NULL
NULL;ANTONINEK (D);NULL;NULL;ANTONINEK (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ANTONINEK (S);NULL;NULL;ANTONINEK (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ANTONIÓW (S);NULL;NULL;ANTONIÓW (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000085901;ANTONIÓWKA (S);48769;ANTONIÓWKA;ANTONIÓWKA (STACJA);ANTONIÓWKA (STACJA) 26-630 woj.MAZOWIECKIE;NULL;51.42491113;21.27903252;ANTONIÓWKA;NULL;26-630;NULL;POLSKA;MAZOWIECKIE;NULL;500.000;NULL;NULL;l;NULL
SV0000088801;ARCELIN (S);36772;ARCELIN;ARCELIN (STACJA);ARCELIN (STACJA) 09-100 woj.MAZOWIECKIE;NULL;52.65471470;20.31534590;ARCELIN;NULL;09-100;NULL;POLSKA;MAZOWIECKIE;NULL;500.000;NULL;NULL;l;NULL
NULL;ARCISZEWO (D);NULL;NULL;ARCISZEWO (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ARCISZEWO (S);NULL;NULL;ARCISZEWO (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ARKADIA (D);NULL;NULL;ARKADIA (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ARKADIA (S);NULL;NULL;ARKADIA (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000094500;AUGUSTÓW (M);NULL;NULL;AUGUSTÓW (MIASTO);Księdza Ściegiennego 3, 16-300 Augustów, Polska;Osiedle Generała Prądzyńskiego;53.84228970;22.98182630;AUGUSTÓW;Księdza Ściegiennego;16-300;Augustów;POLSKA;PODLASKIE;NULL;600.000;NULL;NULL;NULL;NULL
SV0000086281;AUGUSTÓW (S);12963;AUGUSTÓW;AUGUSTÓW (STACJA);AUGUSTÓW KOLEJOWA woj.PODLASKIE Stacja:AUGUSTÓW;NULL;53.85289366;23.02506924;AUGUSTÓW;KOLEJOWA;16-300;NULL;POLSKA;PODLASKIE;NULL;500.000;NULL;NULL;NULL;NULL
SV0000086279;AUGUSTÓW PORT (S);12955;AUGUSTÓW PORT;AUGUSTÓW PORT (STACJA);AUGUSTÓW AL. KARD. WYSZYŃSKIEGO woj.PODLASKIE Stacja:AUGUSTÓW PORT;NULL;53.86307063;23.00271830;AUGUSTÓW;AL. KARD. WYSZYŃSKIEGO;16-300;NULL;POLSKA;PODLASKIE;NULL;500.000;NULL;NULL;NULL;NULL
SV0000089044;AUGUSTÓWKA (S);38984;AUGUSTÓWKA;AUGUSTÓWKA (STACJA);AUGUSTÓWKA (STACJA) 05-310 woj.MAZOWIECKIE;NULL;52.21083330;21.86166670;AUGUSTÓWKA;NULL;05-310;NULL;POLSKA;MAZOWIECKIE;NULL;500.000;NULL;NULL;l;NULL
NULL;AZORY (S);NULL;NULL;AZORY (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000087083;BABI DÓŁ (S);17822;BABI DÓŁ;BABI DÓŁ (STACJA);BABI DÓŁ (STACJA) 83-330 woj.POMORSKIE;NULL;54.30163610;18.28854849;BABI DÓŁ;NULL;83-330;NULL;POLSKA;POMORSKIE;NULL;500.000;NULL;NULL;l;NULL
SV0000085801;BABIAK (D);NULL;NULL;BABIAK (DOM);BABIAK (DOM) 62-620 woj.WIELKOPOLSKIE;NULL;52.35352960;18.66987173;BABIAK;NULL;62-620;NULL;POLSKA;WIELKOPOLSKIE;NULL;500.000;NULL;NULL;l;NULL
SV0000085102;BABIAK (S);19174;BABIAK;BABIAK (STACJA);BABIAK (STACJA) 62-620 woj.WIELKOPOLSKIE;NULL;52.35352960;18.66987173;BABIAK;NULL;62-620;NULL;POLSKA;WIELKOPOLSKIE;NULL;500.000;NULL;NULL;l;NULL
NULL;BABICA (D);NULL;NULL;BABICA (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000088621;BABICA (S);82750;BABICA;BABICA (STACJA);BABICA (STACJA) 38-120 woj.PODKARPACKIE;NULL;49.93476000;21.87035000;BABICA;NULL;38-120;NULL;POLSKA;PODKARPACKIE;NULL;500.000;NULL;NULL;l;NULL
NULL;BABICA KOLONIA (S);NULL;NULL;BABICA KOLONIA (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BABICE BSZ (S);NULL;NULL;BABICE BSZ (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000089977;BABIMOST (D);NULL;NULL;BABIMOST (DOM);Plac Mikołaja Kopernika 29, 66-110 Babimost, Polska;NULL;52.16576000;15.82921000;BABIMOST;Plac Mikołaja Kopernika;66-110;gmina Babimost;POLSKA;LUBUSKIE;NULL;500.000;NULL;NULL;NULL;NULL
SV0000089976;BABIMOST (S);26161;BABIMOST;BABIMOST (STACJA);Dworcowa 1, 66-110 Babimost, Polska;NULL;52.16838790;15.81541150;BABIMOST;Dworcowa;66-110;gmina Babimost;POLSKA;LUBUSKIE;NULL;500.000;NULL;NULL;NULL;NULL
SV0000091114;BABORÓW (S);67249;BABORÓW;BABORÓW (STACJA);Dworzec PKP Baborów (niecz.), Plac Dworcowy, 48-120 Baborów, Polska;Jaroniów;50.15619950;17.97781840;BABORÓW;Plac Dworcowy;48-120;gmina Baborów;POLSKA;OPOLSKIE;NULL;500.000;NULL;NULL;NULL;NULL
SV0000086940;BABORÓWKO (S);28936;BABORÓWKO;BABORÓWKO (STACJA);BABORÓWKO DWORCOWA woj.WIELKOPOLSKIE Stacja:BABORÓWKO;NULL;52.58275180;16.62682209;BABORÓWKO;DWORCOWA;64-500;NULL;POLSKA;WIELKOPOLSKIE;NULL;500.000;NULL;NULL;NULL;NULL
SV0000089606;BABY (S);47399;BABY;BABY (STACJA);DWORCOWA 14, 97-310 KIEŁCZÓWKA, POLSKA;NULL;51.53806094;19.71736908;gmina MoszczenicaKiełczówka;Dworcowa;97-310;gmina Moszczenica;POLSKA;województwo łódzkie;NULL;1000.000;NULL;NULL;NULL;NULL
SV0000084901;BACHORCE (S);19224;BACHORCE;BACHORCE (STACJA);BACHORCE (STACJA) 88-150 woj.KUJAWSKO-POMORSKIE;NULL;52.66923000;18.42678000;BACHORCE;NULL;88-150;NULL;POLSKA;KUJAWSKO-POMORSKIE;NULL;500.000;NULL;NULL;l;NULL
NULL;BAĆKOWICE (D);NULL;NULL;BAĆKOWICE (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BAĆKOWICE (S);NULL;NULL;BAĆKOWICE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000085737;BAGICZ BOCZNICA (S);178528;BAGICZ BOCZNICA;BAGICZ BOCZNICA (STACJA);BAGICZ BOCZNICA (STACJA) 78-111 woj.ZACHODNIOPOMORSKIE;NULL;54.19158560;15.69496330;BAGICZ;NULL;78-111;NULL;POLSKA;ZACHODNIOPOMORSKIE;NULL;500.000;NULL;NULL;l;NULL
SV0000086877;BAGIENICE (S);9894;BAGIENICE;BAGIENICE (STACJA);BAGIENICE (STACJA) 11-700 woj.WARMIŃSKO-MAZURSKIE;NULL;53.84756630;21.22844430;BAGIENICE;NULL;11-700;NULL;POLSKA;WARMIŃSKO-MAZURSKIE;NULL;500.000;NULL;NULL;l;NULL
NULL;BAJDY (D);NULL;NULL;BAJDY (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BAJDY (S);NULL;NULL;BAJDY (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000086709;BAJTKOWO (S);12260;BAJTKOWO;BAJTKOWO (STACJA);BAJTKOWO (STACJA) 19-321 woj.WARMIŃSKO-MAZURSKIE;NULL;53.74053920;22.25364510;BAJTKOWO;NULL;19-321;NULL;POLSKA;WARMIŃSKO-MAZURSKIE;NULL;500.000;NULL;NULL;l;NULL
NULL;BAKÓW (D);NULL;NULL;BAKÓW (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BAKÓW (S);NULL;NULL;BAKÓW (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BALICE (D);NULL;NULL;BALICE (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BALICE (S);NULL;NULL;BALICE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BALIN (D);NULL;NULL;BALIN (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BALIN (S);NULL;NULL;BALIN (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000086282;BALINKA (S);NULL;NULL;BALINKA (STACJA);BALINKA (STACJA) 16-308 woj.PODLASKIE;NULL;53.74269601;23.20333958;BALINKA;NULL;16-308;NULL;POLSKA;PODLASKIE;NULL;500.000;NULL;NULL;l;NULL
SV0000092241;BAŁDOWO (D);NULL;NULL;BAŁDOWO (DOM);Spokojna, 83-110 Bałdowo, Polska;NULL;54.05546310;18.80522510;BAŁDOWO;Spokojna;83-100;gmina Tczew;POLSKA;POMORSKIE;NULL;500.000;NULL;NULL;NULL;NULL
SV0000084701;BAŁDOWO (S);NULL;NULL;BAŁDOWO (STACJA);BAŁDOWO (STACJA) 83-100 woj.POMORSKIE;NULL;54.05969000;18.79898000;BAŁDOWO;NULL;83-100;NULL;POLSKA;POMORSKIE;NULL;500.000;NULL;NULL;l;NULL
NULL;BAŁDRZYCHÓW (D);NULL;NULL;BAŁDRZYCHÓW (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BAŁDRZYCHÓW (S);NULL;NULL;BAŁDRZYCHÓW (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000092000;BANINO (D);NULL;NULL;BANINO (DOM);Lotnicza 58, 80-297 Banino, Polska;NULL;54.39355000;18.39755000;BANINO;Lotnicza;80-297;gmina Żukowo;POLSKA;POMORSKIE;NULL;500.000;NULL;NULL;NULL;NULL
NULL;BARAK (D);NULL;NULL;BARAK (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BARAK (S);NULL;NULL;BARAK (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BARANOWICE (D);NULL;NULL;BARANOWICE (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BARANOWICE (S);NULL;NULL;BARANOWICE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000086880;BARANOWO (S);12567;BARANOWO;BARANOWO (STACJA);BARANOWO (STACJA) 11-730 woj.WARMIŃSKO-MAZURSKIE;NULL;53.82706870;21.44910930;BARANOWO;NULL;11-730;NULL;POLSKA;WARMIŃSKO-MAZURSKIE;NULL;500.000;NULL;NULL;l;NULL
NULL;BARANÓW (D);NULL;NULL;BARANÓW (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BARANÓW (S);NULL;NULL;BARANÓW (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000090157;BARANÓW SANDOM (S);65789;BARANÓW SANDOMIERSKI;BARANÓW SANDOMIERSKI (STACJA);128, 39-451 SKOPANIE, POLSKA;NULL;50.47562191;21.57439113;gmina Baranów Sandomierski;NULL;39-451;gmina Baranów Sandomierski;POLSKA;województwo podkarpackie;NULL;2000.000;NULL;NULL;NULL;NULL
NULL;BARANÓWKA (S);NULL;NULL;BARANÓWKA (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000086550;BARCHÓW (S);37929;BARCHÓW;BARCHÓW (STACJA);BARCHÓW (STACJA) 07-130 woj.MAZOWIECKIE;NULL;52.51532750;21.65407180;BARCHÓW;NULL;07-130;NULL;POLSKA;MAZOWIECKIE;NULL;500.000;NULL;NULL;l;NULL
SV0000090112;BARCICE (S);82065;BARCICE;BARCICE (STACJA);118, 33-342 Barcice, Polska;NULL;49.52532820;20.65098000;BARCICE;NULL;33-342;gmina Stary Sącz;POLSKA;MAŁOPOLSKIE;NULL;500.000;NULL;NULL;NULL;NULL
NULL;BARCIN (D);NULL;NULL;BARCIN (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000085263;BARCIN (S);19638;BARCIN;BARCIN (STACJA);BARCIN DWORCOWA woj.KUJAWSKO-POMORSKIE Stacja:BARCIN;NULL;52.85264870;17.93986060;BARCIN;DWORCOWA;88-190;NULL;POLSKA;KUJAWSKO-POMORSKIE;NULL;500.000;NULL;NULL;NULL;NULL
SV0000086917;BARCINO (S);4820;BARCINO;BARCINO (STACJA);BARCINO (STACJA) 77-232 woj.POMORSKIE;NULL;54.27593614;16.97254482;BARCINO;NULL;77-232;NULL;POLSKA;POMORSKIE;NULL;500.000;NULL;NULL;l;NULL
NULL;BARCISZEWO (D);NULL;NULL;BARCISZEWO (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BARCISZEWO (S);NULL;NULL;BARCISZEWO (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000089062;BARCZĄCA (S);39081;BARCZĄCA;BARCZĄCA (STACJA);BARCZĄCA WESOŁA woj.MAZOWIECKIE Stacja:BARCZĄCA;NULL;52.15444170;21.63793560;BARCZĄCA;WESOŁA;05-300;NULL;POLSKA;MAZOWIECKIE;NULL;500.000;NULL;NULL;NULL;NULL
SV0000086726;BARCZEWO (S);9365;BARCZEWO;BARCZEWO (STACJA);BARCZEWO PUŁASKIEGO woj.WARMIŃSKO-MAZURSKIE Stacja:BARCZEWO;NULL;53.84446430;20.69995940;BARCZEWO;PUŁASKIEGO;11-010;NULL;POLSKA;WARMIŃSKO-MAZURSKIE;NULL;500.000;NULL;NULL;NULL;NULL
SV0000091001;BARDO (D);NULL;NULL;BARDO (DOM);Męki Pańskiej 11, 57-256 Bardo, Polska;NULL;50.50848340;16.74181720;BARDO;Męki Pańskiej;57-256;gmina Bardo;POLSKA;DOLNOŚLĄSKIE;NULL;500.000;NULL;NULL;NULL;NULL
NULL;BARDO (S);NULL;NULL;BARDO (STACJA);NULL;NULL;NULL;NULL;BARDO;NULL;NULL;NULL;NULL;NULL;NULL;1000.000;NULL;s;SV0000090917;NULL
SV0000090917;BARDO PRZYŁĘK (S);56481;BARDO PRZYŁĘK;BARDO PRZYŁĘK (STACJA);Dworzec PKP Bardo Przyłęk, Fabryczna, Bardo, Polska;NULL;50.50952410;16.75847210;BARDO;Fabryczna;57-256;gmina Bardo;POLSKA;DOLNOŚLĄSKIE;NULL;500.000;NULL;NULL;NULL;NULL
SV0000091000;BARDO ŚLĄSKIE (S);56523;BARDO ŚLĄSKIE;BARDO ŚLĄSKIE (STACJA);KRAKOWSKA 1, 57-256 BARDO, POLSKA;NULL;50.50484994;16.73360467;powiat ząbkowicki;Krakowska;57-256;powiat ząbkowicki;POLSKA;województwo dolnośląskie;NULL;1000.000;NULL;NULL;NULL;NULL
NULL;BARDZINEK (D);NULL;NULL;BARDZINEK (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BARDZINEK (S);NULL;NULL;BARDZINEK (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BARKA (D);NULL;NULL;BARKA (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BARKA (S);NULL;NULL;BARKA (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BARKOWICE (D);NULL;NULL;BARKOWICE (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BARKOWICE (S);NULL;NULL;BARKOWICE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000085105;BARŁOGI (S);33217;BARŁOGI;BARŁOGI (STACJA);BARŁOGI (STACJA) 62-640 woj.WIELKOPOLSKIE;NULL;52.21575340;18.76877215;BARŁOGI;NULL;62-640;NULL;POLSKA;WIELKOPOLSKIE;NULL;500.000;NULL;NULL;l;NULL
SV0000094587;BOREK (S);NULL;NULL;BOREK (STACJA);KARTONEX, LEŚNA 4B, 22-300 KRASNYSTAW, POLSKA;NULL;51.00480346;23.18497181;Krasnystaw;Leśna;22-300;Krasnystaw;POLSKA;województwo lubelskie;NULL;1000.000;NULL;NULL;NULL;NULL
NULL;BOREK BSZ (S);NULL;NULL;BOREK BSZ (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BORKI (D);NULL;NULL;BORKI (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BORKI (S);NULL;NULL;BORKI (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000087609;BORKI KOSY (S);NULL;NULL;BORKI KOSY (STACJA);BORKI KOSY (STACJA) 08-112 woj.MAZOWIECKIE;NULL;52.08901130;22.35836520;BORKI-KOSY;NULL;08-112;NULL;POLSKA;MAZOWIECKIE;NULL;500.000;NULL;NULL;l;NULL
