sv_kod;kod;plk;stacja;opiskod1;pelna;dzielnica;szerokosc;dlugosc;miasto;ulica;kod_p;gmina;kraj;wojewodztwo;nrposesjiwpis;promien;jednorazowy;kod_pracy;uwagi;blok
SV0000088786;MŁAWA (S);37226;MŁAWA;MŁAWA (STACJA);MŁAWA STARY RYNEK woj.MAZOWIECKIE Stacja:MŁAWA;NULL;53.11150910;20.38201240;MŁAWA;STARY RYNEK;06-500;NULL;POLSKA;MAZOWIECKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000088787;MŁAWA MIASTO (S);37218;MŁAWA MIASTO;MŁAWA MIASTO (STACJA);MŁAWA MIASTO (STACJA) 06-500 woj.MAZOWIECKIE;NULL;53.10808740;20.36442030;MŁAWA;NULL;06-500;NULL;POLSKA;MAZOWIECKIE;NULL;2000.000;NULL;NULL;l;NULL
NULL;MŁODOSZOWICE (D);NULL;NULL;MŁODOSZOWICE (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MŁODOSZOWICE (S);NULL;NULL;MŁODOSZOWICE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000090114;MŁODÓW (S);82081;MŁODÓW;MŁODÓW (STACJA);1, 33-343 Młodów, Polska;NULL;49.46466000;20.69545000;MŁODÓW;NULL;33-343;gmina Piwniczna-Zdrój;POLSKA;MAŁOPOLSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
NULL;MŁODZAWY (D);NULL;NULL;MŁODZAWY (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MŁODZAWY (S);NULL;NULL;MŁODZAWY (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MŁYN PALUCKI (S);NULL;NULL;MŁYN PALUCKI (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000086916;MŁYNARY (S);11445;MŁYNARY;MŁYNARY (STACJA);MŁYNARY RYNEK woj.WARMIŃSKO-MAZURSKIE Stacja:MŁYNARY;NULL;54.18789460;19.72300870;MŁYNARY;RYNEK;14-420;NULL;POLSKA;WARMIŃSKO-MAZURSKIE;NULL;500.000;NULL;NULL;NULL;NULL
NULL;MŁYNY (D);NULL;NULL;MŁYNY (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MŁYNY (S);NULL;NULL;MŁYNY (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000091862;MŁYŃSKO (S);52373;MŁYŃSKO;MŁYŃSKO (STACJA);30, 59-620 Krzewie Wielkie, Polska;NULL;51.00856030;15.44627370;MŁYŃSKO;NULL;59-620;powiat lwówecki;POLSKA;DOLNOŚLĄSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
NULL;MNICH (D);NULL;NULL;MNICH (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV04121;MNICH GWARDII LUDOWEJ 6;NULL;NULL;MNICH GWARDII LUDOWEJ 6;MNICH GWARDII LUDOWEJ 6;Mnich Gwardii Ludowej;49.88836900;18.79056800;MNICH;GWARDII LUDOWEJ;43-520;Polska;POLSKA;ŚLĄSKIE;NULL;2000.000;F;NULL;NULL;NULL
SV04122;MNICH PIECHY 16;NULL;NULL;MNICH PIECHY 16;MNICH PIECHY 16;Mnich Piechy;49.89326690;18.80192500;MNICH;PIECHY;43-520;Polska;POLSKA;ŚLĄSKIE;NULL;2000.000;F;NULL;NULL;NULL
SV04123;MNICH SŁOWACKIEGO 53;NULL;NULL;MNICH SŁOWACKIEGO 53;MNICH SŁOWACKIEGO 53;Mnich Słowackiego;49.88495200;18.81541790;MNICH;SŁOWACKIEGO;43-520;Polska;POLSKA;ŚLĄSKIE;NULL;2000.000;F;NULL;NULL;NULL
NULL;MNISZEK (D);NULL;NULL;MNISZEK (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MNISZEK (S);NULL;NULL;MNISZEK (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MODERÓWKA (D);NULL;NULL;MODERÓWKA (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MODERÓWKA (S);NULL;NULL;MODERÓWKA (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MODGARBY (S);NULL;NULL;MODGARBY (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MODLIBORZYCE (D);NULL;NULL;MODLIBORZYCE (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MODLIBORZYCE (S);NULL;NULL;MODLIBORZYCE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MODLIBÓRZ (D);NULL;NULL;MODLIBÓRZ (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MODLIBÓRZ (S);NULL;NULL;MODLIBÓRZ (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MODLIN (D);NULL;NULL;MODLIN (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000089090;MODLIN (S);36467;MODLIN;MODLIN (STACJA);MODLIN (STACJA) 05-100 woj.MAZOWIECKIE;NULL;52.44338080;20.70370310;NOWY DWÓR MAZOWIECKI;NULL;05-100;NULL;POLSKA;MAZOWIECKIE;NULL;2000.000;NULL;NULL;l;NULL
NULL;MODLISZEWICE (D);NULL;NULL;MODLISZEWICE (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MODLISZEWICE (S);NULL;NULL;MODLISZEWICE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MODLISZEWKO (D);NULL;NULL;MODLISZEWKO (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MODLISZEWKO (S);NULL;NULL;MODLISZEWKO (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MODLISZEWO (D);NULL;NULL;MODLISZEWO (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MODLISZEWO (S);NULL;NULL;MODLISZEWO (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000088441;MODŁA (S);54239;MODŁA;MODŁA (STACJA);MODŁA (STACJA) 59-706 woj.DOLNOŚLĄSKIE;NULL;51.37592034;15.81297905;MODŁA;NULL;59-706;NULL;POLSKA;DOLNOŚLĄSKIE;NULL;2000.000;NULL;NULL;l;NULL
NULL;MODRZE (D);NULL;NULL;MODRZE (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MODRZE (S);NULL;NULL;MODRZE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000085269;MOGILNO (S);32003;MOGILNO;MOGILNO (STACJA);MOGILNO DWORCOWA woj.KUJAWSKO-POMORSKIE Stacja:MOGILNO;NULL;52.65862595;17.94644477;MOGILNO;DWORCOWA;88-300;NULL;POLSKA;KUJAWSKO-POMORSKIE;NULL;500.000;NULL;NULL;NULL;NULL
SV0000087158;MOJUSZ (S);18127;MOJUSZ;MOJUSZ (STACJA);MOJUSZ (STACJA) 83-340 woj.POMORSKIE;NULL;54.34516000;17.96832000;MOJUSZ;NULL;83-340;NULL;POLSKA;POMORSKIE;NULL;500.000;NULL;NULL;l;NULL
SV0000088995;MOKRA (S);33035;MOKRA;MOKRA (STACJA);MOKRA (STACJA) 96-100 woj.ŁÓDZKIE;NULL;51.98048070;20.10183310;MOKRA;NULL;96-100;NULL;POLSKA;ŁÓDZKIE;NULL;2000.000;NULL;NULL;l;NULL
