,kod,plk,stacja,opiskod1,pelna,szerokosc,dlugosc,wojewodztwo,Coordinates
4784,KRZYŻANOWICE (S),67967.0,KRZYŻANOWICE,KRZYŻANOWICE (STACJA),"Dworzec PKP Krzyżanowice, Kolejowa, Masztalnia, Polska",49.98904,18.2757017,ŚLĄSKIE,"49.98904,18.2757017,KRZYŻANOWICE (STACJA)"
4790,KRZYŻOWA (S),54981.0,KRZYŻOWA,KRZYŻOWA (STACJA),"Dworzec PKP Krzyżowa, Aleja dębowa, 58-112 Krzyżowa, Polska",50.7940339,16.5298689,DOLNOŚLĄSKIE,"50.7940339,16.5298689,KRZYŻOWA (STACJA)"
4792,KSIĄŻKI (S),20933.0,KSIĄŻKI,KSIĄŻKI (STACJA),KSIĄŻKI KS. KUJAWSKIEGO woj.KUJAWSKO-POMORSKIE Stacja:KSIĄŻKI,53.3281833,19.0703024,KUJAWSKO-POMORSKIE,"53.3281833,19.0703024,KSIĄŻKI (STACJA)"
4793,KSIĄŻNO (S),44784.0,KSIĄŻNO,KSIĄŻNO (STACJA),KSIĄŻNO (STACJA) 62-320 woj.WIELKOPOLSKIE,52.24613884,17.49379403,WIELKOPOLSKIE,"52.24613884,17.49379403,KSIĄŻNO (STACJA)"
4795,KSIĘGINICE (S),60392.0,KSIĘGINICE,KSIĘGINICE (STACJA),KSIĘGINICE (STACJA) 55-330 woj.DOLNOŚLĄSKIE,51.24158653,16.76572026,DOLNOŚLĄSKIE,"51.24158653,16.76572026,KSIĘGINICE (STACJA)"
4796,KUBICE (S),56788.0,KUBICE,KUBICE (STACJA),"73, 48-303 Kubice, Polska",50.4758154,17.4425612,OPOLSKIE,"50.4758154,17.4425612,KUBICE (STACJA)"
4797,KUDOWA ZDRÓJ (S),57554.0,KUDOWA ZDRÓJ,KUDOWA ZDRÓJ (STACJA),"Główna 23, 57-350 Kudowa-Zdrój, Polska",50.4297689,16.24457,DOLNOŚLĄSKIE,"50.4297689,16.24457,KUDOWA ZDRÓJ (STACJA)"
4800,KUKLINÓW (S),44123.0,KUKLINÓW,KUKLINÓW (STACJA),KUKLINÓW (STACJA) 63-740 woj.WIELKOPOLSKIE,51.71928568,17.31892008,WIELKOPOLSKIE,"51.71928568,17.31892008,KUKLINÓW (STACJA)"
4801,KULEJE (S),71845.0,KULEJE,KULEJE (STACJA),KULEJE (STACJA) 42-134 woj.ŚLĄSKIE,50.82952774,18.79209129,ŚLĄSKIE,"50.82952774,18.79209129,KULEJE (STACJA)"
4803,BIAŁOGARD PZM (S),177900.0,BIAŁOGARD PZM PZZ,BIAŁOGARD PZM PZZ (STACJA),BIAŁOGARD PZM PZZ (STACJA) Szosa Połczyńska 78-200 woj.ZACHODNIOPOMORSKIE,53.9963365,15.9966531,ZACHODNIOPOMORSKIE,"53.9963365,15.9966531,BIAŁOGARD PZM PZZ (STACJA)"
4804,BIAŁOŚLIWIE (S),14480.0,BIAŁOŚLIWIE,BIAŁOŚLIWIE (STACJA),BIAŁOŚLIWIE KOLEJOWA woj.WIELKOPOLSKIE Stacja:BIAŁOŚLIWIE,53.09735245,17.12368904,WIELKOPOLSKIE,"53.09735245,17.12368904,BIAŁOŚLIWIE (STACJA)"
4805,BIAŁUŃ (S),1420.0,BIAŁUŃ,BIAŁUŃ (STACJA),"SŁONECZNA 17, 72-100 BIAŁUŃ, POLSKA",53.6142517,14.83995438,województwo zachodniopomorskie,"53.6142517,14.83995438,BIAŁUŃ (STACJA)"
4806,BIAŁY DUNAJEC (S),78964.0,BIAŁY DUNAJEC,BIAŁY DUNAJEC (STACJA),"34-425 BIAŁY DUNAJEC, POLSKA",49.37626791,20.00728369,województwo małopolskie,"49.37626791,20.00728369,BIAŁY DUNAJEC (STACJA)"
4807,BIAŁY ZDRÓJ PD (S),15032.0,BIAŁY ZDRÓJ POŁUDNIOWY,BIAŁY ZDRÓJ POŁUDNIOWY (STACJA),BIAŁY ZDRÓJ POŁUDNIOWY (STACJA) 78-540 woj.ZACHODNIOPOMORSKIE,53.2567178,15.95374165,ZACHODNIOPOMORSKIE,"53.2567178,15.95374165,BIAŁY ZDRÓJ POŁUDNIOWY (STACJA)"
4808,BIAŁY ZDRÓJ PN (S),14993.0,BIAŁY ZDRÓJ PÓŁNOCNY,BIAŁY ZDRÓJ PÓŁNOCNY (STACJA),"DOJAZD POŻAROWY 10, 78-540 DĘBSKO, POLSKA",53.26300541,15.91459751,województwo zachodniopomorskie,"53.26300541,15.91459751,BIAŁY ZDRÓJ PÓŁNOCNY (STACJA)"
4809,BIAŁYST FAB DOJ (S),193209.0,BIAŁYSTOK FABR. IKAJ,BIAŁYSTOK FABRYCZNY DOJLIDY (STACJA),"GENERAŁA NIKODEMA SULIKA, 15-519 BIAŁYSTOK, POLSKA",53.12598088,23.22617054,województwo podlaskie,"53.12598088,23.22617054,BIAŁYSTOK FABRYCZNY DOJLIDY (STACJA)"
4811,BIAŁYSTOK (M),24000.0,BIAŁYSTOK,BIAŁYSTOK (MIASTO),"Ratusz, Rynek Kościuszki 10, 15-432 Białystok, Polska",53.1323456,23.1586755,PODLASKIE,"53.1323456,23.1586755,BIAŁYSTOK (MIASTO)"
4812,BIAŁYSTOK (S),24000.0,BIAŁYSTOK,BIAŁYSTOK (STACJA),"KOLEJOWA 9, 15-701 BIAŁYSTOK, POLSKA",53.13360914,23.13536167,województwo podlaskie,"53.13360914,23.13536167,BIAŁYSTOK (STACJA)"
4813,BIAŁYSTOK FABR (S),24273.0,BIAŁYSTOK FABRYCZNY,BIAŁYSTOK FABRYCZNY (STACJA),"TOWAROWA 1/2, 15-007 BIAŁYSTOK, POLSKA",53.13981374,23.1840384,województwo podlaskie,"53.13981374,23.1840384,BIAŁYSTOK FABRYCZNY (STACJA)"
4815,BIAŁYSTOK STAD (S),24372.0,BIAŁYSTOK STADION,BIAŁYSTOK STADION (STACJA),"15-327 BIAŁYSTOK, POLSKA",53.09821805,23.129493,województwo podlaskie,"53.09821805,23.129493,BIAŁYSTOK STADION (STACJA)"
4816,BIAŁYSTOK STARO (S),24042.0,BIAŁYSTOK STAROSIELCE,BIAŁYSTOK STAROSIELCE (STACJA),BIAŁYSTOK STAROSIELCE SZKOLNA (STACJA) 15-640 woj.PODLASKIE,53.1211871,23.0867818,PODLASKIE,"53.1211871,23.0867818,BIAŁYSTOK STAROSIELCE (STACJA)"
4818,BIAŁYSTOK WBK (S),179060.0,BIAŁYSTOK WBK 157,BIAŁYSTOK WBK 157 (STACJA),"Zdrojowa, 16-001 Kleosin, Polska",53.100955,23.120771,PODLASKIE,"53.100955,23.120771,BIAŁYSTOK WBK 157 (STACJA)"
4819,BIAŁYSTOK WIAD (S),24620.0,BIAŁYSTOK WIADUKT PO,BIAŁYSTOK WIADUKT PO (STACJA),"Lniana 36, 15-665 Białystok, Polska",53.1174686,23.105299,PODLASKIE,"53.1174686,23.105299,BIAŁYSTOK WIADUKT PO (STACJA)"
4820,BIECZ (S),81786.0,BIECZ,BIECZ (STACJA),"Dworzec PKP Biecz, Kolejowa 7, 38-340 Biecz, Polska",49.7326683,21.2628326,MAŁOPOLSKIE,"49.7326683,21.2628326,BIECZ (STACJA)"
4822,BIECZYNO POM (S),4226.0,BIECZYNO POMORSKIE,BIECZYNO POMORSKIE (STACJA),BIECZYNO POMORSKIE (STACJA) 72-320 woj.ZACHODNIOPOMORSKIE,54.0954141,15.352427,ZACHODNIOPOMORSKIE,"54.0954141,15.352427,BIECZYNO POMORSKIE (STACJA)"
4823,BIEDRZYCH DOLNE (S),41350.0,BIEDRZYCHOWICE DOLNE,BIEDRZYCHOWICE DOLNE (STACJA),BIEDRZYCHOWICE DOLNE (STACJA) DOLNA BIENIÓW 68-200 woj.LUBUSKIE,51.72626453,15.13374325,LUBUSKIE,"51.72626453,15.13374325,BIEDRZYCHOWICE DOLNE (STACJA)"
4826,BIELANY PODL (S),118562.0,BIELANY PODLASKIE,BIELANY PODLASKIE (STACJA),"08-311 Bielany-Jarosławy, Polska",52.3366108,22.2548339,MAZOWIECKIE,"52.3366108,22.2548339,BIELANY PODLASKIE (STACJA)"
4827,BIELANY WROCŁ (S),60244.0,BIELANY WROCŁAWSKIE,BIELANY WROCŁAWSKIE (STACJA),"DWORCOWA 4, 55-040 BIELANY WROCŁAWSKIE, POLSKA",51.03723827,16.97619438,województwo dolnośląskie,"51.03723827,16.97619438,BIELANY WROCŁAWSKIE (STACJA)"
4828,BIELAWY (S),19695.0,BIELAWY,BIELAWY (STACJA),"88-192 BIELAWY, POLSKA",52.8270715,18.01659107,województwo kujawsko-pomorskie,"52.8270715,18.01659107,BIELAWY (STACJA)"
4837,BIELSK PODLASKI (S),24430.0,BIELSK PODLASKI,BIELSK PODLASKI (STACJA),"DWORZEC PKP BIELSK PODLASKI, KOLEJOWA 2A, 17-100 BIELSK PODLASKI, POLSKA",52.76154134,23.18861961,województwo podlaskie,"52.76154134,23.18861961,BIELSK PODLASKI (STACJA)"
4841,BIELSKO B ALEK (S),76455.0,BIELSKO BIAŁA ALEKSANDROWICE,BIELSKO BIAŁA ALEKSANDROWICE (STACJA),"CIŻEMKI, 43-303 BIELSKO-BIAŁA, POLSKA",49.81635394,19.00355816,województwo śląskie,"49.81635394,19.00355816,BIELSKO BIAŁA ALEKSANDROWICE (STACJA)"
4842,BIELSKO B FIAT (S),178576.0,BIELSKO-BIAŁA FIAT AUTO POLAND,BIELSKO BIAŁA FIAT AUTO POLAND (STACJA),"WĘGLOWA, 43-346 BIELSKO-BIAŁA, POLSKA",49.84777958,19.0394783,województwo śląskie,"49.84777958,19.0394783,BIELSKO BIAŁA FIAT AUTO POLAND (STACJA)"
4843,BIELSKO B GŁÓW (S),76109.0,BIELSKO BIAŁA GŁÓWNA,BIELSKO BIAŁA GŁÓWNA (STACJA),"3 Maja 26a, Bielsko-Biała, Polska",49.8278962,19.0450318,ŚLĄSKIE,"49.8278962,19.0450318,BIELSKO BIAŁA GŁÓWNA (STACJA)"
4844,BIELSKO B GÓRNE (S),76125.0,BIELSKO BIAŁA GÓRNE,BIELSKO BIAŁA GÓRNE (STACJA),"LISTOPADOWA 114, 43-300 BIELSKO-BIAŁA, POLSKA",49.82956752,19.03237581,województwo śląskie,"49.82956752,19.03237581,BIELSKO BIAŁA GÓRNE (STACJA)"
4845,BIELSKO B LESZ (S),76349.0,BIELSKO-BIAŁA LESZCZYNY,BIELSKO BIAŁA LESZCZYNY (STACJA),"ŻYWIECKA, 43-310 BIELSKO-BIAŁA, POLSKA",49.79697351,19.06080723,województwo śląskie,"49.79697351,19.06080723,BIELSKO BIAŁA LESZCZYNY (STACJA)"
4846,BIELSKO B MIK (S),76364.0,BIELSKO-BIAŁA MIKUSZOWICE,BIELSKO BIAŁA MIKUSZOWICE (STACJA),"PTTK BIELSKO-BIAŁA, MORELOWA, 43-310 BIELSKO-BIAŁA, POLSKA",49.78339081,19.07376766,województwo śląskie,"49.78339081,19.07376766,BIELSKO BIAŁA MIKUSZOWICE (STACJA)"
4847,BIELSKO B PN (S),76133.0,BIELSKO-BIAŁA PÓŁNOC,BIELSKO BIAŁA PÓŁNOC (STACJA),"FIAT CHRYSLER AUTOMOBILES POLAND, 43-346 BIELSKO-BIAŁA, POLSKA",49.8418365,19.04137731,województwo śląskie,"49.8418365,19.04137731,BIELSKO BIAŁA PÓŁNOC (STACJA)"
4848,BIELSKO B WAP (S),76463.0,BIELSKO BIAŁA WAPIEN,BIELSKO BIAŁA WAPIEN (STACJA),"DWORZEC PKP BIELSKO BIAŁA WAPIENICA, DWORCOWA 22, 43-380 BIELSKO-BIAŁA, POLSKA",49.8111629,18.9807151,województwo śląskie,"49.8111629,18.9807151,BIELSKO BIAŁA WAPIEN (STACJA)"
4849,BIELSKO B WSCH (S),76158.0,BIELSKO BIAŁA WSCHÓD,BIELSKO BIAŁA WSCHÓD (STACJA),"Dworzec PKP Bielsko Biała Wschód, Piekarska, Bielsko-Biała, Polska",49.8345395,19.0572484,ŚLĄSKIE,"49.8345395,19.0572484,BIELSKO BIAŁA WSCHÓD (STACJA)"
4850,BIELSKO B ZACH (S),76166.0,BIELSKO BIAŁA ZACHÓD,BIELSKO BIAŁA ZACHÓD (STACJA),"Eugeniusza Kwiatkowskiego, Bielsko-Biała, Polska",49.8398996,19.0404846,ŚLĄSKIE,"49.8398996,19.0404846,BIELSKO BIAŁA ZACHÓD (STACJA)"
4856,BIELSZOWICE (S),70847.0,RUDA BIELSZOWICE,BIELSZOWICE (STACJA),"WSPÓLNA, 41-711 RUDA ŚLĄSKA, POLSKA",50.26087659,18.81891489,województwo śląskie,"50.26087659,18.81891489,BIELSZOWICE (STACJA)"
