,kod,plk,stacja,opiskod1,pelna,szerokosc,dlugosc,wojewodztwo,Coordinates
12,ALEKSANDRÓW KUJ (S),21501.0,ALEKSANDRÓW KUJAWSKI,ALEKSANDRÓW KUJAWSKI (STACJA),"Dworzec PKP Aleksandrów Kujawski, Wojska Polskiego 2, 87-700 Aleksandrów Kujawski, Polska",52.8762793,18.6962495,KUJAWSKO-POMORSKIE,"52.8762793,18.6962495,ALEKSANDRÓW KUJAWSKI (STACJA)"
23,ANIELINY (S),18242.0,ANIELINY,ANIELINY (STACJA),ANIELINY (STACJA) 89-110 woj.KUJAWSKO-POMORSKIE,53.129057,17.48634364,KUJAWSKO-POMORSKIE,"53.129057,17.48634364,ANIELINY (STACJA)"
30,ANTONIN (S),46011.0,ANTONIN,ANTONIN (STACJA),ANTONIN KOLEJOWA woj.WIELKOPOLSKIE Stacja:ANTONIN,51.51407216,17.85982698,WIELKOPOLSKIE,"51.51407216,17.85982698,ANTONIN (STACJA)"
34,ANTONIÓWKA (S),48769.0,ANTONIÓWKA,ANTONIÓWKA (STACJA),ANTONIÓWKA (STACJA) 26-630 woj.MAZOWIECKIE,51.42491113,21.27903252,MAZOWIECKIE,"51.42491113,21.27903252,ANTONIÓWKA (STACJA)"
35,ARCELIN (S),36772.0,ARCELIN,ARCELIN (STACJA),ARCELIN (STACJA) 09-100 woj.MAZOWIECKIE,52.6547147,20.3153459,MAZOWIECKIE,"52.6547147,20.3153459,ARCELIN (STACJA)"
41,AUGUSTÓW (S),12963.0,AUGUSTÓW,AUGUSTÓW (STACJA),AUGUSTÓW KOLEJOWA woj.PODLASKIE Stacja:AUGUSTÓW,53.85289366,23.02506924,PODLASKIE,"53.85289366,23.02506924,AUGUSTÓW (STACJA)"
42,AUGUSTÓW PORT (S),12955.0,AUGUSTÓW PORT,AUGUSTÓW PORT (STACJA),AUGUSTÓW AL. KARD. WYSZYŃSKIEGO woj.PODLASKIE Stacja:AUGUSTÓW PORT,53.86307063,23.0027183,PODLASKIE,"53.86307063,23.0027183,AUGUSTÓW PORT (STACJA)"
43,AUGUSTÓWKA (S),38984.0,AUGUSTÓWKA,AUGUSTÓWKA (STACJA),AUGUSTÓWKA (STACJA) 05-310 woj.MAZOWIECKIE,52.2108333,21.8616667,MAZOWIECKIE,"52.2108333,21.8616667,AUGUSTÓWKA (STACJA)"
45,BABI DÓŁ (S),17822.0,BABI DÓŁ,BABI DÓŁ (STACJA),BABI DÓŁ (STACJA) 83-330 woj.POMORSKIE,54.3016361,18.28854849,POMORSKIE,"54.3016361,18.28854849,BABI DÓŁ (STACJA)"
47,BABIAK (S),19174.0,BABIAK,BABIAK (STACJA),BABIAK (STACJA) 62-620 woj.WIELKOPOLSKIE,52.3535296,18.66987173,WIELKOPOLSKIE,"52.3535296,18.66987173,BABIAK (STACJA)"
49,BABICA (S),82750.0,BABICA,BABICA (STACJA),BABICA (STACJA) 38-120 woj.PODKARPACKIE,49.93476,21.87035,PODKARPACKIE,"49.93476,21.87035,BABICA (STACJA)"
53,BABIMOST (S),26161.0,BABIMOST,BABIMOST (STACJA),"Dworcowa 1, 66-110 Babimost, Polska",52.1683879,15.8154115,LUBUSKIE,"52.1683879,15.8154115,BABIMOST (STACJA)"
54,BABORÓW (S),67249.0,BABORÓW,BABORÓW (STACJA),"Dworzec PKP Baborów (niecz.), Plac Dworcowy, 48-120 Baborów, Polska",50.1561995,17.9778184,OPOLSKIE,"50.1561995,17.9778184,BABORÓW (STACJA)"
55,BABORÓWKO (S),28936.0,BABORÓWKO,BABORÓWKO (STACJA),BABORÓWKO DWORCOWA woj.WIELKOPOLSKIE Stacja:BABORÓWKO,52.5827518,16.62682209,WIELKOPOLSKIE,"52.5827518,16.62682209,BABORÓWKO (STACJA)"
56,BABY (S),47399.0,BABY,BABY (STACJA),"DWORCOWA 14, 97-310 KIEŁCZÓWKA, POLSKA",51.53806094,19.71736908,województwo łódzkie,"51.53806094,19.71736908,BABY (STACJA)"
57,BACHORCE (S),19224.0,BACHORCE,BACHORCE (STACJA),BACHORCE (STACJA) 88-150 woj.KUJAWSKO-POMORSKIE,52.66923,18.42678,KUJAWSKO-POMORSKIE,"52.66923,18.42678,BACHORCE (STACJA)"
60,BAGICZ BOCZNICA (S),178528.0,BAGICZ BOCZNICA,BAGICZ BOCZNICA (STACJA),BAGICZ BOCZNICA (STACJA) 78-111 woj.ZACHODNIOPOMORSKIE,54.1915856,15.6949633,ZACHODNIOPOMORSKIE,"54.1915856,15.6949633,BAGICZ BOCZNICA (STACJA)"
61,BAGIENICE (S),9894.0,BAGIENICE,BAGIENICE (STACJA),BAGIENICE (STACJA) 11-700 woj.WARMIŃSKO-MAZURSKIE,53.8475663,21.2284443,WARMIŃSKO-MAZURSKIE,"53.8475663,21.2284443,BAGIENICE (STACJA)"
64,BAJTKOWO (S),12260.0,BAJTKOWO,BAJTKOWO (STACJA),BAJTKOWO (STACJA) 19-321 woj.WARMIŃSKO-MAZURSKIE,53.7405392,22.2536451,WARMIŃSKO-MAZURSKIE,"53.7405392,22.2536451,BAJTKOWO (STACJA)"
81,BARANOWO (S),12567.0,BARANOWO,BARANOWO (STACJA),BARANOWO (STACJA) 11-730 woj.WARMIŃSKO-MAZURSKIE,53.8270687,21.4491093,WARMIŃSKO-MAZURSKIE,"53.8270687,21.4491093,BARANOWO (STACJA)"
84,BARANÓW SANDOM (S),65789.0,BARANÓW SANDOMIERSKI,BARANÓW SANDOMIERSKI (STACJA),"128, 39-451 SKOPANIE, POLSKA",50.47562191,21.57439113,województwo podkarpackie,"50.47562191,21.57439113,BARANÓW SANDOMIERSKI (STACJA)"
86,BARCHÓW (S),37929.0,BARCHÓW,BARCHÓW (STACJA),BARCHÓW (STACJA) 07-130 woj.MAZOWIECKIE,52.5153275,21.6540718,MAZOWIECKIE,"52.5153275,21.6540718,BARCHÓW (STACJA)"
87,BARCICE (S),82065.0,BARCICE,BARCICE (STACJA),"118, 33-342 Barcice, Polska",49.5253282,20.65098,MAŁOPOLSKIE,"49.5253282,20.65098,BARCICE (STACJA)"
89,BARCIN (S),19638.0,BARCIN,BARCIN (STACJA),BARCIN DWORCOWA woj.KUJAWSKO-POMORSKIE Stacja:BARCIN,52.8526487,17.9398606,KUJAWSKO-POMORSKIE,"52.8526487,17.9398606,BARCIN (STACJA)"
90,BARCINO (S),4820.0,BARCINO,BARCINO (STACJA),BARCINO (STACJA) 77-232 woj.POMORSKIE,54.27593614,16.97254482,POMORSKIE,"54.27593614,16.97254482,BARCINO (STACJA)"
93,BARCZĄCA (S),39081.0,BARCZĄCA,BARCZĄCA (STACJA),BARCZĄCA WESOŁA woj.MAZOWIECKIE Stacja:BARCZĄCA,52.1544417,21.6379356,MAZOWIECKIE,"52.1544417,21.6379356,BARCZĄCA (STACJA)"
94,BARCZEWO (S),9365.0,BARCZEWO,BARCZEWO (STACJA),BARCZEWO PUŁASKIEGO woj.WARMIŃSKO-MAZURSKIE Stacja:BARCZEWO,53.8444643,20.6999594,WARMIŃSKO-MAZURSKIE,"53.8444643,20.6999594,BARCZEWO (STACJA)"
97,BARDO PRZYŁĘK (S),56481.0,BARDO PRZYŁĘK,BARDO PRZYŁĘK (STACJA),"Dworzec PKP Bardo Przyłęk, Fabryczna, Bardo, Polska",50.5095241,16.7584721,DOLNOŚLĄSKIE,"50.5095241,16.7584721,BARDO PRZYŁĘK (STACJA)"
98,BARDO ŚLĄSKIE (S),56523.0,BARDO ŚLĄSKIE,BARDO ŚLĄSKIE (STACJA),"KRAKOWSKA 1, 57-256 BARDO, POLSKA",50.50484994,16.73360467,województwo dolnośląskie,"50.50484994,16.73360467,BARDO ŚLĄSKIE (STACJA)"
105,BARŁOGI (S),33217.0,BARŁOGI,BARŁOGI (STACJA),BARŁOGI (STACJA) 62-640 woj.WIELKOPOLSKIE,52.2157534,18.76877215,WIELKOPOLSKIE,"52.2157534,18.76877215,BARŁOGI (STACJA)"
111,BORKI OPOLSKIE (S),61069.0,BORKI OPOLSKIE,BORKI OPOLSKIE (STACJA),BORKI OPOLSKIE KOLEJOWA woj.OPOLSKIE Stacja:BORKI OPOLSKIE,50.74294189,17.8816964,OPOLSKIE,"50.74294189,17.8816964,BORKI OPOLSKIE (STACJA)"
113,BORKOWICE (S),61424.0,BORKOWICE,BORKOWICE (STACJA),"Wiejska 5A, 46-243 Korzeniaki, Polska",50.9322603,18.1559273,OPOLSKIE,"50.9322603,18.1559273,BORKOWICE (STACJA)"
115,BORKOWO (S),17848.0,BORKOWO,BORKOWO (STACJA),BORKOWO KOLEJOWA woj.POMORSKIE Stacja:BORKOWO,54.33500389,18.33390946,POMORSKIE,"54.33500389,18.33390946,BORKOWO (STACJA)"
117,BORONÓW (S),72066.0,BORONÓW,BORONÓW (STACJA),BORONÓW DWORCOWA woj.ŚLĄSKIE Stacja:BORONÓW,50.6663629,18.90089783,ŚLĄSKIE,"50.6663629,18.90089783,BORONÓW (STACJA)"
120,BOROWA OLEŚNICKA (S),59345.0,BOROWA OLEŚNICKA,BOROWA OLEŚNICKA (STACJA),"Lipowa, Borowa, Polska",51.1847866,17.2800224,DOLNOŚLĄSKIE,"51.1847866,17.2800224,BOROWA OLEŚNICKA (STACJA)"
127,BOROWIKI (S),25320.0,BOROWIKI,BOROWIKI (STACJA),BOROWIKI (STACJA) 17-332 woj.PODLASKIE,52.4914739,23.2062583,PODLASKIE,"52.4914739,23.2062583,BOROWIKI (STACJA)"
136,BORÓW (S),53629.0,BORÓW,BORÓW (STACJA),"2794D, Borów, Polska",50.9810298,16.2377458,DOLNOŚLĄSKIE,"50.9810298,16.2377458,BORÓW (STACJA)"
137,BORÓW KG GNIEW (S),240722.0,BORÓW KG GNIEW.,BORÓW KG GNIEW (STACJA),"Borowska 9, 58-150 Kostrza, Polska",50.9805418,16.2575685,DOLNOŚLĄSKIE,"50.9805418,16.2575685,BORÓW KG GNIEW (STACJA)"
142,BORSUKÓWKA (S),24083.0,BORSUKÓWKA,BORSUKÓWKA (STACJA),BORSUKÓWKA (STACJA) 16-002 woj.PODLASKIE,53.2393553,22.9358583,PODLASKIE,"53.2393553,22.9358583,BORSUKÓWKA (STACJA)"
143,BORSZEWICE (S),178638.0,BORSZEWICE,BORSZEWICE (STACJA),BORSZEWICE (STACJA) 98-100 woj.ŁÓDZKIE,51.6081392,19.036143,ŁÓDZKIE,"51.6081392,19.036143,BORSZEWICE (STACJA)"
147,BORUCICE (S),216137.0,BORUCICE,BORUCICE (STACJA),BORUCICE (STACJA) 46-166 woj.OPOLSKIE,50.98062031,17.56070957,OPOLSKIE,"50.98062031,17.56070957,BORUCICE (STACJA)"
151,BORUJSKP JW4499 (S),15180.0,BORUJSKO,BORUJSKP JW4499 (STACJA),BORUJSKP JW4499 (STACJA) 78-530 woj.ZACHODNIOPOMORSKIE,53.39591793,16.10731886,ZACHODNIOPOMORSKIE,"53.39591793,16.10731886,BORUJSKP JW4499 (STACJA)"
155,BORYSŁAWICE (S),19141.0,BORYSŁAWICE,BORYSŁAWICE (STACJA),BORYSŁAWICE (STACJA) 62-640 woj.WIELKOPOLSKIE,52.2254,18.78761,WIELKOPOLSKIE,"52.2254,18.78761,BORYSŁAWICE (STACJA)"
158,BOSZKOWO (S),43356.0,BOSZKOWO,BOSZKOWO (STACJA),BOSZKOWO (STACJA) 64-140 woj.WIELKOPOLSKIE,51.95942283,16.33708959,WIELKOPOLSKIE,"51.95942283,16.33708959,BOSZKOWO (STACJA)"
161,BOŻA WOLA (S),34397.0,BOŻA WOLA,BOŻA WOLA (STACJA),BOŻA WOLA (STACJA) 05-332 woj.MAZOWIECKIE,52.1180536,21.6843939,MAZOWIECKIE,"52.1180536,21.6843939,BOŻA WOLA (STACJA)"
165,BOŻEPOLE WIELKIE (S),5421.0,BOŻEPOLE WIELKIE,BOŻEPOLE WIELKIE (STACJA),BOŻEPOLE WIELKIE (STACJA) 84-214 woj.POMORSKIE,54.56878613,17.9680469,POMORSKIE,"54.56878613,17.9680469,BOŻEPOLE WIELKIE (STACJA)"
169,BRACHLEWO (S),23192.0,BRACHLEWO,BRACHLEWO (STACJA),BRACHLEWO (STACJA) 82-500 woj.POMORSKIE,53.804379,18.9663935,POMORSKIE,"53.804379,18.9663935,BRACHLEWO (STACJA)"
170,BRACHÓW (S),53595.0,BRACHÓW,BRACHÓW (STACJA),"2786D, Słup, Polska",51.1063735,16.1294175,DOLNOŚLĄSKIE,"51.1063735,16.1294175,BRACHÓW (STACJA)"
171,BRALIN (S),45773.0,BRALIN,BRALIN (STACJA),"Dworcowa 1, 63-640 Bralin, Polska",51.28913,17.89581,WIELKOPOLSKIE,"51.28913,17.89581,BRALIN (STACJA)"
175,BRANIEWO (S),11254.0,BRANIEWO,BRANIEWO (STACJA),BRANIEWO DWORCOWA woj.WARMIŃSKO-MAZURSKIE Stacja:BRANIEWO,54.3812526,19.841489,WARMIŃSKO-MAZURSKIE,"54.3812526,19.841489,BRANIEWO (STACJA)"
178,BRATKÓW (S),49742.0,BRATKÓW,BRATKÓW (STACJA),"Książ, Smardzewice, gmina Tomaszów Mazowiecki, Polska",51.472876,20.0931765,ŁÓDZKIE,"51.472876,20.0931765,BRATKÓW (STACJA)"
193,BRODNICA (S),21204.0,BRODNICA,BRODNICA (STACJA),BRODNICA ZAMKOWA woj.KUJAWSKO-POMORSKIE Stacja:BRODNICA,53.2581102,19.3994328,KUJAWSKO-POMORSKIE,"53.2581102,19.3994328,BRODNICA (STACJA)"
196,BRODY (S),8524.0,BRODY POMORSKIE,BRODY (STACJA),"24, 83-140 Brody Pomorskie, Polska",53.86026,18.7614789,POMORSKIE,"53.86026,18.7614789,BRODY (STACJA)"
197,BRODY IŁZECKIE (S),49288.0,BRODY IŁZECKIE,BRODY IŁZECKIE (STACJA),BRODY NAD TORAMI woj.ŚWIĘTOKRZYSKIE Stacja:BRODY IŁZECKIE,51.0214779,21.1997762,ŚWIĘTOKRZYSKIE,"51.0214779,21.1997762,BRODY IŁZECKIE (STACJA)"
198,BRODY POMORSKIE (S),8524.0,BRODY POMORSKIE,BRODY POMORSKIE (STACJA),"83-140 Brody Pomorskie, Polska",53.86343,18.75826,POMORSKIE,"53.86343,18.75826,BRODY POMORSKIE (STACJA)"
199,BRODY WARSZAW (S),36483.0,BRODY WARSZAWSKIE,BRODY WARSZAWSKIE (STACJA),BRODY WARSZAWSKIE (STACJA) 05-180 woj.MAZOWIECKIE,52.5052912,20.7390051,MAZOWIECKIE,"52.5052912,20.7390051,BRODY WARSZAWSKIE (STACJA)"
205,BROKĘCINO (S),3228.0,BROKĘCINO,BROKĘCINO (STACJA),BROKĘCINO (STACJA) 64-965 woj.WIELKOPOLSKIE,53.56270965,16.81765427,WIELKOPOLSKIE,"53.56270965,16.81765427,BROKĘCINO (STACJA)"
212,BRONÓW (S),44867.0,BRONÓW,BRONÓW (STACJA),BRONÓW (STACJA) 63-300 woj.WIELKOPOLSKIE,51.79683712,17.7731152,WIELKOPOLSKIE,"51.79683712,17.7731152,BRONÓW (STACJA)"
213,CHORZEW SIEMK (S),72058.0,CHORZEW SIEMKOWICE,CHORZEW SIEMKOWICE (STACJA),CHORZEW SIEMKOWICE (STACJA) 98-354 woj.ŁÓDZKIE,51.21026785,18.94177643,ŁÓDZKIE,"51.21026785,18.94177643,CHORZEW SIEMKOWICE (STACJA)"
216,CHORZÓW (S),72272.0,CHORZÓW MIASTO,CHORZÓW (STACJA),"Kolejowa 1, Chorzów, Polska",50.3101413,18.9717342,ŚLĄSKIE,"50.3101413,18.9717342,CHORZÓW (STACJA)"
217,CHORZÓW BATORY (S),73106.0,CHORZÓW BATORY,CHORZÓW BATORY (STACJA),"DWORZEC PKP CHORZÓW BATORY, ARMII KRAJOWEJ 46, 41-508 CHORZÓW, POLSKA",50.2786309,18.9449358,województwo śląskie,"50.2786309,18.9449358,CHORZÓW BATORY (STACJA)"
218,CHORZÓW MIASTO (S),72272.0,CHORZÓW MIASTO,CHORZÓW MIASTO (STACJA),"Dworzec PKP Chorzów Miasto, Plac Dworcowy 6, Chorzów, Polska",50.2985852,18.9502052,ŚLĄSKIE,"50.2985852,18.9502052,CHORZÓW MIASTO (STACJA)"
220,CHORZÓW STARY (S),72207.0,CHORZÓW STARY,CHORZÓW STARY (STACJA),"Maciejkowicka, Chorzów, Polska",50.3132418,18.9807346,ŚLĄSKIE,"50.3132418,18.9807346,CHORZÓW STARY (STACJA)"
224,CHOSZCZNO (S),29405.0,CHOSZCZNO,CHOSZCZNO (STACJA),CHOSZCZNO (STACJA) 73-200 woj.ZACHODNIOPOMORSKIE,53.16530358,15.4033564,ZACHODNIOPOMORSKIE,"53.16530358,15.4033564,CHOSZCZNO (STACJA)"
227,CHOTOMÓW (S),36533.0,CHOTOMÓW,CHOTOMÓW (STACJA),CHOTOMÓW PRZECHODNIA woj.MAZOWIECKIE Stacja:CHOTOMÓW,52.4157092,20.8847443,MAZOWIECKIE,"52.4157092,20.8847443,CHOTOMÓW (STACJA)"
230,CHOTYŁÓW (S),40949.0,CHOTYŁÓW,CHOTYŁÓW (STACJA),CHOTYŁÓW (STACJA) 21-530 woj.LUBELSKIE,51.9968452,23.3559392,LUBELSKIE,"51.9968452,23.3559392,CHOTYŁÓW (STACJA)"
234,CHRONÓW (S),49056.0,CHRONÓW,CHRONÓW (STACJA),CHRONÓW (STACJA) 26-505 woj.MAZOWIECKIE,51.355688,20.9317298,MAZOWIECKIE,"51.355688,20.9317298,CHRONÓW (STACJA)"
235,CHROSNA (S),38968.0,CHROSNA,CHROSNA (STACJA),CHROSNA (STACJA) 05-340 woj.MAZOWIECKIE,52.03703,21.45932,MAZOWIECKIE,"52.03703,21.45932,CHROSNA (STACJA)"
236,CHRÓSTNIK (S),53272.0,CHRÓSTNIK,CHRÓSTNIK (STACJA),"S-3, Chróstnik, gmina Lubin, Polska",51.3516247,16.1743471,DOLNOŚLĄSKIE,"51.3516247,16.1743471,CHRÓSTNIK (STACJA)"
237,CHRÓŚCINA OPOL (S),60699.0,CHRÓŚCINA OPOLSKA,CHRÓŚCINA OPOLSKA (STACJA),"1 Maja 4, 46-073 Chróścina, Polska",50.6705943,17.816905,OPOLSKIE,"50.6705943,17.816905,CHRÓŚCINA OPOLSKA (STACJA)"
238,CHRUSTY NOWE (S),47415.0,CHRUSTY NOWE,CHRUSTY NOWE (STACJA),CHRUSTY NOWE (STACJA) 95-040 woj.ŁÓDZKIE,51.6952574,19.794529,ŁÓDZKIE,"51.6952574,19.794529,CHRUSTY NOWE (STACJA)"
240,CHRUŚCIEL (S),11411.0,CHRUŚCIEL,CHRUŚCIEL (STACJA),CHRUŚCIEL (STACJA) 14-526 woj.WARMIŃSKO-MAZURSKIE,54.260386,19.8119791,WARMIŃSKO-MAZURSKIE,"54.260386,19.8119791,CHRUŚCIEL (STACJA)"
241,CHRZANÓW (S),77800.0,CHRZANÓW,CHRZANÓW (STACJA),"Dworzec PKP Chrzanów (niecz.), Fabryczna, Chrzanów, Polska",50.1335093,19.3990137,MAŁOPOLSKIE,"50.1335093,19.3990137,CHRZANÓW (STACJA)"
243,CHRZANÓW ŚRÓDM (S),77834.0,CHRZANÓW ŚRÓDM.,CHRZANÓW ŚRÓDMIEŚCIE (STACJA),"Generała Władysława Sikorskiego 1l, 32-500 Chrzanów, Polska",50.1448551,19.4147652,MAŁOPOLSKIE,"50.1448551,19.4147652,CHRZANÓW ŚRÓDMIEŚCIE (STACJA)"
245,CHRZĄSTOWICE (S),60848.0,CHRZĄSTOWICE,CHRZĄSTOWICE (STACJA),"Dworzec PKP Chrząstowice, Dworcowa, 46-053 Chrząstowice, Polska",50.6603115,18.0730121,OPOLSKIE,"50.6603115,18.0730121,CHRZĄSTOWICE (STACJA)"
251,CHRZĘSNE (S),38125.0,CHRZĘSNE,CHRZĘSNE (STACJA),CHRZĘSNE KARSKIEJ W. woj.MAZOWIECKIE Stacja:CHRZĘSNE,52.44639,21.48333,MAZOWIECKIE,"52.44639,21.48333,CHRZĘSNE (STACJA)"
252,CHWALIBOGOWO (S),44792.0,CHWALIBOGOWO,CHWALIBOGOWO (STACJA),CHWALIBOGOWO (STACJA) 62-300 woj.WIELKOPOLSKIE,52.28344312,17.52513629,WIELKOPOLSKIE,"52.28344312,17.52513629,CHWALIBOGOWO (STACJA)"
253,CHWALIM (S),43240.0,CHWALIM,CHWALIM (STACJA),CHWALIM (STACJA) 66-120 woj.LUBUSKIE,52.06011445,15.82132741,LUBUSKIE,"52.06011445,15.82132741,CHWALIM (STACJA)"
254,CHWAŁKOWO KOŚC (S),45153.0,CHWAŁKOWO KOŚCIELNE,CHWAŁKOWO KOŚCIELNE (STACJA),CHWAŁKOWO KOŚCIELNE (STACJA) 63-130 woj.WIELKOPOLSKIE,52.03056948,17.3082786,WIELKOPOLSKIE,"52.03056948,17.3082786,CHWAŁKOWO KOŚCIELNE (STACJA)"
259,CHYBIE (S),75796.0,CHYBIE,CHYBIE (STACJA),"Dworzec PKP Chybie, Dworcowa, Chybie, Polska",49.89327,18.8115398,ŚLĄSKIE,"49.89327,18.8115398,CHYBIE (STACJA)"
260,CHYBIE MNICH (S),75820.0,CHYBIE MNICH,CHYBIE MNICH (STACJA),"Dębowa, Mnich, Polska",49.8836493,18.8200087,ŚLĄSKIE,"49.8836493,18.8200087,CHYBIE MNICH (STACJA)"
263,CHYNÓW (S),48595.0,CHYNÓW,CHYNÓW (STACJA),CHYNÓW (STACJA) 05-650 woj.MAZOWIECKIE,51.906049,21.0833255,MAZOWIECKIE,"51.906049,21.0833255,CHYNÓW (STACJA)"
265,CIASNA (S),71522.0,CIASNA,CIASNA (STACJA),"Dworzec PKP Ciasna, Dworcowa, Płaszczak, Polska",50.7571024,18.6290956,ŚLĄSKIE,"50.7571024,18.6290956,CIASNA (STACJA)"
266,CIECHANOWICE (S),55673.0,CIECHANOWICE,CIECHANOWICE (STACJA),"128, Ciechanowice, powiat kamiennogórski, Polska",50.8657307,15.9804375,DOLNOŚLĄSKIE,"50.8657307,15.9804375,CIECHANOWICE (STACJA)"
268,CIECHANÓW (S),36939.0,CIECHANÓW,CIECHANÓW (STACJA),CIECHANÓW (STACJA) 06-400 woj.MAZOWIECKIE,52.8814075,20.6110759,MAZOWIECKIE,"52.8814075,20.6110759,CIECHANÓW (STACJA)"
269,CIECHANÓW PRZEM (S),36913.0,CIECHANÓW PRZEMYSŁOWY,CIECHANÓW PRZEMYSŁOWY (STACJA),CIECHANÓW SKŁADOWA woj.MAZOWIECKIE Stacja:CIECHANÓW PRZEMYSŁOWY,52.8636124,20.6165293,MAZOWIECKIE,"52.8636124,20.6165293,CIECHANÓW PRZEMYSŁOWY (STACJA)"
271,CIECHOCINEK (S),21550.0,CIECHOCINEK STH,CIECHOCINEK (STACJA),"Dworzec PKP Ciechocinek, Mikołaja Kopernika 4, 87-720 Ciechocinek, Polska",52.881216,18.7887059,KUJAWSKO-POMORSKIE,"52.881216,18.7887059,CIECHOCINEK (STACJA)"
272,CIECHOCINEK STH (S),21550.0,CIECHOCINEK STH,CIECHOCINEK STH (STACJA),"Dworzec PKP Ciechocinek, Mikołaja Kopernika 4, 87-720 Ciechocinek, Polska",52.881216,18.7887059,KUJAWSKO-POMORSKIE,"52.881216,18.7887059,CIECHOCINEK STH (STACJA)"
274,CIECIERZYN (S),50633.0,CIECIERZYN,CIECIERZYN (STACJA),CIECIERZYN (STACJA) 21-003 woj.LUBELSKIE,51.3189,22.60695,LUBELSKIE,"51.3189,22.60695,CIECIERZYN (STACJA)"
275,CIECINA (S),76752.0,CIECINA,CIECINA (STACJA),"Kolejowa 2, 34-350 Cięcina, Polska",49.6113368,19.1377523,ŚLĄSKIE,"49.6113368,19.1377523,CIECINA (STACJA)"
276,CIECINA DOLNA (S),178279.0,CIECINA DOLNA,CIECINA DOLNA (STACJA),"Niepodległości Polski, Cięcina, Polska",49.6222753,19.151653,ŚLĄSKIE,"49.6222753,19.151653,CIECINA DOLNA (STACJA)"
278,CIEKSYN (S),36749.0,CIEKSYN,CIEKSYN (STACJA),CIEKSYN PIŁSUDSKIEGO J. woj.MAZOWIECKIE Stacja:CIEKSYN,52.5742863,20.6677635,MAZOWIECKIE,"52.5742863,20.6677635,CIEKSYN (STACJA)"
281,CIEMNICE (S),27615.0,CIEMNICE,CIEMNICE (STACJA),CIEMNICE KOLEJOWA woj.LUBUSKIE Stacja:CIEMNICE,52.03951235,15.23313673,LUBUSKIE,"52.03951235,15.23313673,CIEMNICE (STACJA)"
285,CIENIN (S),33365.0,CIENIN,CIENIN (STACJA),CIENIN (STACJA) 62-400 woj.WIELKOPOLSKIE,52.27247471,17.96808246,WIELKOPOLSKIE,"52.27247471,17.96808246,CIENIN (STACJA)"
286,CIENIN KOŚCIELNY (S),33373.0,CIENIN KOŚCIELNY,CIENIN KOŚCIELNY (STACJA),CIENIN KOŚCIELNY (STACJA) 62-400 woj.WIELKOPOLSKIE,52.26955875,18.01858898,WIELKOPOLSKIE,"52.26955875,18.01858898,CIENIN KOŚCIELNY (STACJA)"
287,CIEPIELÓW (S),41475.0,CIEPIELÓW,CIEPIELÓW (STACJA),"67-100 Ciepielów, Polska",51.7616912,15.6781193,LUBUSKIE,"51.7616912,15.6781193,CIEPIELÓW (STACJA)"
289,CIEPLEWO (S),7328.0,CIEPLEWO,CIEPLEWO (STACJA),CIEPLEWO DŁUGA woj.POMORSKIE Stacja:CIEPLEWO,54.23423,18.65238,POMORSKIE,"54.23423,18.65238,CIEPLEWO (STACJA)"
294,CIERPICE (S),19810.0,CIERPICE,CIERPICE (STACJA),"Dworzec PKP Cierpice, 200, 87-165 Kąkol, Polska",52.9889066,18.4701436,KUJAWSKO-POMORSKIE,"52.9889066,18.4701436,CIERPICE (STACJA)"
295,CIERPIGÓRZ (S),39727.0,CIERPIGÓRZ,CIERPIGÓRZ (STACJA),CIERPIGÓRZ (STACJA) 08-109 woj.MAZOWIECKIE,52.22620576,22.59474099,MAZOWIECKIE,"52.22620576,22.59474099,CIERPIGÓRZ (STACJA)"
296,CIESZKÓW (S),44222.0,CIESZKÓW,CIESZKÓW (STACJA),CIESZKÓW KOLEJOWA woj.DOLNOŚLĄSKIE Stacja:CIESZKÓW,51.63157009,17.35293628,DOLNOŚLĄSKIE,"51.63157009,17.35293628,CIESZKÓW (STACJA)"
300,CIESZYN (S),75655.0,CIESZYN,CIESZYN (STACJA),"D.A. Cieszyn, Feliksa Hajduka, 43-400 Cieszyn, Polska",49.750703,18.6386014,ŚLĄSKIE,"49.750703,18.6386014,CIESZYN (STACJA)"
301,CIESZYN MARKL (S),75648.0,CIESZYN MARKLOWICE,CIESZYN MARKLOWICE (STACJA),"Frysztacka 169, 43-400 Cieszyn, Polska",49.7839892,18.6049883,ŚLĄSKIE,"49.7839892,18.6049883,CIESZYN MARKLOWICE (STACJA)"
302,CIESZYN MNISZTWO (S),75671.0,CIESZYN MNISZTWO,CIESZYN MNISZTWO (STACJA),"Wronia, Cieszyn, Polska",49.7460399,18.6650957,ŚLĄSKIE,"49.7460399,18.6650957,CIESZYN MNISZTWO (STACJA)"
303,CIESZYNO ŁOB (S),3558.0,CIESZYNO ŁOBESKIE,CIESZYNO ŁOBESKIE (STACJA),"73-155 Cieszyno, Polska",53.5194483,15.44859,ZACHODNIOPOMORSKIE,"53.5194483,15.44859,CIESZYNO ŁOBESKIE (STACJA)"
310,CIKOWICE (S),79756.0,CIKOWICE,CIKOWICE (STACJA),"140, 32-700 Cikowice, Polska",49.9813804,20.3723141,MAŁOPOLSKIE,"49.9813804,20.3723141,CIKOWICE (STACJA)"
