godzina	station_id	avg_dostepne_rowery	avg_dostepne_doki	avg_popularnosc_stacji	rk
0	45	4.6310013717421125	10.3689986282578875	0.6913	1
0	62	5.8873626373626374	13.081043956043956	0.6896	2
0	47	6.4540466392318244	12.5253772290809328	0.6599	3
0	63	6.4482758620689655	12.5324137931034483	0.6603	4
0	75	6.4787379972565158	12.4910836762688615	0.6585	5
0	48	5.252400548696845	9.7393689986282579	0.6496	6
0	51	6.8115543328748281	12.1980742778541953	0.6417	7
0	41	5.3799725651577503	9.607681755829904	0.641	8
0	82	5.8010291595197256	9.2006861063464837	0.6133	9
0	76	7.5020576131687243	11.4609053497942387	0.6044	10
0	56	7.7558299039780521	11.2359396433470508	0.5916	11
0	5	7.8765432098765432	11.1083676268861454	0.5851	12
0	10	6.2537722908093278	8.7503429355281207	0.5832	13
0	32	4.5950413223140496	6.3884297520661157	0.5816	14
0	59	9.6694101508916324	13.3182441700960219	0.5794	15
0	68	8.0246913580246914	10.9643347050754458	0.5774	16
0	67	11.5377229080932785	15.4183813443072702	0.572	17
0	25	6.5006858710562414	8.5212620027434842	0.5673	18
0	27	6.5363511659807956	8.4540466392318244	0.564	19
0	83	6.611913357400722	8.3862815884476534	0.5592	20
0	21	6.663923182441701	8.3497942386831276	0.5561	21
0	58	8.4594222833562586	10.5295735900962861	0.5545	22
0	77	11.6323731138545953	14.5253772290809328	0.5553	23
0	80	6.6909090909090909	8.2958677685950413	0.5535	24
0	64	6.7050754458161866	8.2962962962962963	0.553	25
0	14	8.4910836762688615	10.50480109739369	0.553	26
0	22	12.1262002743484225	14.7764060356652949	0.5493	27
0	34	10.5555555555555556	12.3786008230452675	0.5397	28
0	42	6.8998628257887517	8.0946502057613169	0.5398	29
0	13	6.9231824417009602	8.0617283950617284	0.538	30
0	60	6.9684499314128944	8.0164609053497942	0.535	31
0	31	6.9917355371900826	8.0016528925619835	0.5337	32
0	33	7.0480109739368999	7.9396433470507545	0.5297	33
0	29	10.9519890260631001	12.0329218106995885	0.5235	34
0	37	5.2757201646090535	5.7174211248285322	0.5201	35
0	23	7.2071330589849108	7.7860082304526749	0.5193	36
0	61	12.6515775034293553	13.5582990397805213	0.5173	37
0	4	5.299039780521262	5.6831275720164609	0.5175	38
0	24	7.3072702331961591	7.6968449931412894	0.513	39
0	49	9.2866941015089163	9.700960219478738	0.5109	40
0	6	7.3415637860082305	7.6611796982167353	0.5107	41
0	28	11.2866941015089163	11.700960219478738	0.509	42
0	2	13.3100137174211248	13.635116598079561	0.506	43
0	11	9.3895747599451303	9.5925925925925926	0.5053	44
0	38	7.448559670781893	7.551440329218107	0.5034	45
0	16	7.6008230452674897	7.4087791495198903	0.4936	46
0	26	7.7037037037037037	7.2962962962962963	0.4864	47
0	71	9.7462277091906722	9.2222222222222222	0.4862	48
0	8	7.7091906721536351	7.2592592592592593	0.485	49
0	84	7.7712031558185404	7.2169625246548323	0.4815	50
0	65	7.8463648834019204	7.1481481481481481	0.4767	51
0	57	7.8545953360768176	7.1385459533607682	0.4761	52
0	66	9.9574759945130316	9.0041152263374486	0.4749	53
0	12	10.139917695473251	8.8888888888888889	0.4671	54
0	30	8.2373113854595336	6.7640603566529492	0.4509	55
0	36	8.2510288065843621	6.747599451303155	0.4499	56
0	46	8.5349794238683128	6.4471879286694102	0.4303	57
0	3	8.5637860082304527	6.4252400548696845	0.4287	58
0	9	8.6104252400548697	6.3731138545953361	0.4253	59
0	35	6.3155006858710562	4.6707818930041152	0.4251	60
0	7	8.7695473251028807	6.215363511659808	0.4148	61
0	55	13.4739010989010989	9.5027472527472527	0.4136	62
0	74	13.3155006858710562	8.8614540466392318	0.3996	63
0	39	11.6200274348422497	7.3662551440329218	0.388	64
0	73	9.2403314917127072	5.7430939226519337	0.3833	65
0	69	14.7956104252400549	8.2181069958847737	0.3571	66
0	72	15.1563786008230453	7.8120713305898491	0.3401	67
0	50	15.6159122085048011	7.3539094650205761	0.3202	68
0	70	13.2386831275720165	5.7764060356652949	0.3038	69
0	54	10.5020576131687243	4.4883401920438957	0.2994	70
1	45	4.6219178082191781	10.3753424657534247	0.6918	1
1	62	5.8834019204389575	13.0795610425240055	0.6897	2
1	47	6.426027397260274	12.5547945205479452	0.6614	3
1	63	6.4462809917355372	12.534435261707989	0.6604	4
1	75	6.4712328767123288	12.4986301369863014	0.6589	5
1	48	5.2643835616438356	9.7301369863013699	0.6489	6
1	51	6.8214285714285714	12.1785714285714286	0.641	7
1	41	5.3945205479452055	9.5904109589041096	0.64	8
1	82	5.785958904109589	9.2089041095890411	0.6141	9
1	76	7.4643835616438356	11.4986301369863014	0.6064	10
1	56	7.7643835616438356	11.2246575342465753	0.5911	11
1	5	7.8767123287671233	11.1082191780821918	0.5851	12
1	10	6.2534246575342466	8.7493150684931507	0.5832	13
1	32	4.6006600660066007	6.3844884488448845	0.5812	14
1	68	7.9958904109589041	10.9958904109589041	0.579	15
1	59	9.6821917808219178	13.3041095890410959	0.5788	16
1	67	11.5712328767123288	15.3835616438356164	0.5707	17
1	25	6.489041095890411	8.5356164383561644	0.5681	18
1	27	6.5424657534246575	8.4493150684931507	0.5636	19
1	83	6.618018018018018	8.3855855855855856	0.5589	20
1	77	11.6082191780821918	14.5506849315068493	0.5562	21
1	21	6.6657534246575342	8.3342465753424658	0.5556	22
1	14	8.4547945205479452	10.5410958904109589	0.5549	23
1	58	8.4615384615384615	10.5260989010989011	0.5544	24
1	80	6.6914191419141914	8.2937293729372937	0.5535	25
1	64	6.7205479452054795	8.2835616438356164	0.5521	26
