station_id	dzien_tygodnia	avg_dostepne_rowery	avg_dostepne_doki	avg_popularnosc_stacji	rk
62	friday   	5.999603017070266	12.9757840412862247	0.6838	1
56	friday   	7.2703453751488686	11.7169511710996427	0.6171	2
47	friday   	7.3541087733227471	11.6383485510123065	0.6128	3
45	friday   	5.8547042477173482	9.1250496228662168	0.6092	4
59	friday   	9.0385073441842001	13.9333068678046844	0.6065	5
10	friday   	5.9555379118697896	9.0476379515680826	0.603	6
82	friday   	6.0972704714640199	8.8799007444168734	0.5929	7
75	friday   	7.8225486304088924	11.14807463279079	0.5876	8
32	friday   	4.5486344034499281	6.4480114997604217	0.5864	9
5	friday   	7.9202064311234617	11.0460500198491465	0.5824	10
62	monday   	6.3198412698412698	12.6198412698412698	0.6663	1
59	monday   	8.3178571428571429	14.6785714285714286	0.6383	2
58	monday   	7.6133651551312649	11.3691328560063644	0.5989	3
67	monday   	10.9015873015873016	16.0373015873015873	0.5953	4
45	monday   	6.151984126984127	8.8492063492063492	0.5899	5
49	monday   	7.8047619047619048	11.1650793650793651	0.5886	6
56	monday   	7.9154761904761905	11.0686507936507937	0.583	7
47	monday   	7.9801587301587302	10.9829365079365079	0.5792	8
75	monday   	7.9932539682539683	10.9579365079365079	0.5782	9
82	monday   	6.4221230158730159	8.5724206349206349	0.5717	10
47	saturday 	6.5702314445331205	12.4237829209896249	0.6541	1
62	saturday 	6.7230646448523543	12.2350359138068635	0.6454	2
45	saturday 	5.3304070231444533	9.6695929768555467	0.6446	3
75	saturday 	6.8487629688747007	12.1348762968874701	0.6392	4
63	saturday 	7.2381526104417671	11.763855421686747	0.6191	5
56	saturday 	7.5139664804469274	11.4752593774940144	0.6043	6
51	saturday 	7.5977653631284916	11.4134078212290503	0.6004	7
32	saturday 	4.4035679845708775	6.5882352941176471	0.5994	8
41	saturday 	6.0702314445331205	8.9166001596169194	0.595	9
59	saturday 	9.4321628092577813	13.5510774142059058	0.5896	10
62	sunday   	6.6522781774580336	12.2897681854516387	0.6488	1
45	sunday   	5.4144684252597922	9.5843325339728217	0.639	2
75	sunday   	7.1107114308553157	11.8645083932853717	0.6253	3
63	sunday   	7.2428454619787408	11.750204415372036	0.6187	4
47	sunday   	7.3389288569144684	11.6462829736211031	0.6134	5
56	sunday   	7.5171862509992006	11.473621103117506	0.6042	6
59	sunday   	9.2557953637090328	13.745003996802558	0.5976	7
49	sunday   	7.7585931254996003	11.2018385291766587	0.5908	8
51	sunday   	7.8760991207034373	11.1290967226219025	0.5856	9
58	sunday   	8.0270379338175948	10.9548022598870056	0.5771	10
62	thursday 	5.872408293460925	13.0901116427432217	0.6903	1
45	thursday 	5.4501594896331738	9.5358851674641148	0.6363	2
47	thursday 	7.0976874003189793	11.8791866028708134	0.626	3
59	thursday 	8.611244019138756	14.3608452950558214	0.6251	4
75	thursday 	7.1192185007974482	11.8381180223285486	0.6245	5
82	thursday 	5.6612103174603175	9.3278769841269841	0.6223	6
41	thursday 	5.7137161084529506	9.2751196172248804	0.6188	7
67	thursday 	10.3034290271132376	16.6355661881977671	0.6175	8
48	thursday 	5.7982456140350877	9.1746411483253589	0.6128	9
10	thursday 	6.0215311004784689	8.9888357256778309	0.5988	10
62	tuesday  	5.5929668552950687	13.375909458367017	0.7052	1
67	tuesday  	9.662379421221865	17.2403536977491961	0.6408	2
59	tuesday  	8.5080385852090032	14.4533762057877814	0.6295	3
76	tuesday  	7.0594855305466238	11.8802250803858521	0.6273	4
45	tuesday  	5.7508038585209003	9.2391479099678457	0.6164	5
48	tuesday  	5.75	9.2387459807073955	0.6164	6
41	tuesday  	5.7733118971061093	9.2110128617363344	0.6147	7
82	tuesday  	5.8210685483870968	9.15625	0.6113	8
75	tuesday  	7.4654340836012862	11.4722668810289389	0.6058	9
51	tuesday  	7.6165594855305466	11.354903536977492	0.5985	10
62	wednesday	5.853322528363047	13.106969205834684	0.6913	1
59	wednesday	8.3413751507840772	14.6316847607559308	0.6369	2
47	wednesday	7.0663449939686369	11.8894250100522718	0.6272	3
67	wednesday	10.1407318053880177	16.8033775633293124	0.6236	4
45	wednesday	5.7494973864093285	9.2332127060715722	0.6163	5
75	wednesday	7.3401688781664656	11.5975070365902694	0.6124	6
48	wednesday	5.8339364696421391	9.1375150784077201	0.6103	7
56	wednesday	7.4427020506634499	11.5034177724165661	0.6072	8
41	wednesday	5.8938480096501809	9.0880579010856454	0.6066	9
82	wednesday	5.9205794205794206	9.0589410589410589	0.6048	10
