station_id	avg_dostepne_rowery	avg_dostepne_doki	avg_popularnosc_stacji
62	6.1463107961364805	12.8117963079385037	0.6758
45	5.6721049629207074	9.3191100969766115	0.6216
59	8.7868796349115801	14.1929834569309755	0.6176
47	7.2859669138619509	11.687906446092413	0.616
75	7.3865373645179692	11.572561323445522	0.6104
56	7.572561323445522	11.4	0.6009
67	10.7785510553337136	16.1589275527666857	0.5999
82	6.0991234946198247	8.8884771609776954	0.5931
41	6.1420992584141472	8.8353108956075299	0.5899
48	6.2551625784369652	8.7281802624073018	0.5825
51	7.9698009608785175	11.0159002516586593	0.5802
58	7.9723365340649291	11.0145176040237769	0.5801
63	8.0069906027962411	10.9695736878294751	0.5781
10	6.3491158014831717	8.6556759840273816	0.5769
5	8.1188248716486024	10.8658870507701084	0.5723
32	4.7309065934065934	6.2565934065934066	0.5694
83	6.4904726181545386	8.5084021005251313	0.5673
21	6.6389617798060468	8.3733599543639475	0.5578
25	6.6569309754706218	8.3531089560752995	0.5565
76	8.4042213348545351	10.5472333143183115	0.5565
22	11.9456930975470622	14.9589845978322875	0.556
34	10.2034797490017114	12.7273816314888762	0.555
33	6.7285225328009127	8.2608670849971477	0.5511
80	6.8292800219840616	8.1584913437757626	0.5443
49	8.6596691386195094	10.3150028522532801	0.5436
14	8.716657159155733	10.2778665145464917	0.5411
13	6.8920136908157444	8.0932686822589846	0.5401
42	6.8986309184255562	8.0857387335995436	0.5396
71	8.8563034797490017	10.1235596120935539	0.5334
66	8.8458071876782658	10.0998859098687963	0.5331
64	7.0019965772960639	7.9904164289788933	0.533
68	8.8731317741015402	10.105875641756988	0.5325
29	10.807529948659441	12.1783799201369082	0.5298
84	7.0576765525151565	7.9308536785187613	0.5291
28	10.9431831146605819	12.0437535653166001	0.5239
27	7.1487164860239589	7.8436965202509983	0.5232
77	12.5466058185966914	13.5953223046206503	0.5201
37	5.2997147746719909	5.7057045065601825	0.5184
23	7.2254420992584141	7.7674843126069595	0.5181
61	12.6096406160867085	13.5569309754706218	0.5181
31	7.2431652699546641	7.7529193570545405	0.517
4	5.305875641756988	5.678094694808899	0.5169
16	7.2625784369652025	7.7355961209355391	0.5158
2	13.1788668910823301	13.7667028013921378	0.5109
24	7.3592537654039251	7.6534687357371063	0.5098
60	7.4324015972618369	7.5435253850541928	0.5037
55	11.4207491149937193	11.5327737809752198	0.5024
11	9.5193953223046207	9.4691956645750143	0.4987
8	7.5445725373815774	7.4254651295514211	0.496
38	7.5780376497432972	7.4199657729606389	0.4947
6	7.6220764403879064	7.3804905875641757	0.4919
57	7.6410154021677125	7.345750142612664	0.4901
65	7.6646891043924701	7.3127780946948089	0.4883
26	7.7286936679977182	7.2720479178551055	0.4848
46	7.7924130062749572	7.1898459783228751	0.4799
30	7.8006845407872219	7.1969195664575014	0.4799
73	7.8564705882352941	7.1305595408895265	0.4758
69	12.2223046206503137	10.7571021106674273	0.4681
74	12.0798060467769538	10.068967484312607	0.4546
36	8.2462065031374786	6.7574443810610382	0.4504
12	10.4752424415288078	8.5340559041642898	0.4489
9	8.2697661152310325	6.7171135196805476	0.4482
72	12.7065031374786081	10.2399315459212778	0.4463
70	10.7038220193953223	8.2751283513976041	0.436
3	8.4928693667997718	6.4989161437535653	0.4335
39	10.7466339570972159	8.2173094477407576	0.4333
54	8.5097547062179122	6.4687963491158015	0.4319
7	8.5379349686252139	6.446719908727895	0.4302
35	6.2657729606389047	4.7231032515687393	0.4298
50	13.3232542218165221	9.6180967594705614	0.4192
