miesiac	station_id	avg_dostepne_rowery	avg_dostepne_doki	wykorzystanie_stacji	rk
01-january  	62	6.7446236559139785	12.2526881720430108	0.645	1
01-january  	25	5.532258064516129	9.489247311827957	0.6317	2
01-january  	59	8.8924731182795699	14.0913978494623656	0.6131	3
01-january  	84	5.9448924731182796	9.0537634408602151	0.6036	4
01-january  	58	7.5759408602150538	11.4173387096774194	0.6011	5
01-january  	21	5.9811827956989247	9.0053763440860215	0.6009	6
01-january  	32	4.4146505376344086	6.5672043010752688	0.598	7
01-january  	75	7.6821236559139785	11.2869623655913978	0.595	8
01-january  	48	6.0913978494623656	8.8978494623655914	0.5936	9
01-january  	45	6.1713709677419355	8.8266129032258065	0.5885	10
02-february 	62	6.1592261904761905	12.8400297619047619	0.6758	1
02-february 	45	4.9107142857142857	10.0907738095238095	0.6727	2
02-february 	59	7.6316964285714286	15.34375	0.6678	3
02-february 	75	6.9806547619047619	12.0200892857142857	0.6326	4
02-february 	33	5.7514880952380952	9.2492559523809524	0.6166	5
02-february 	71	7.3683035714285714	11.6101190476190476	0.6118	6
02-february 	13	5.8444940476190476	9.140625	0.61	7
02-february 	25	5.8571428571428571	9.1644345238095238	0.6101	8
02-february 	83	5.9006849315068493	9.0993150684931507	0.6066	9
02-february 	56	7.4895833333333333	11.5044642857142857	0.6057	10
03-march    	59	7.3443072702331962	15.6344307270233196	0.6804	1
03-march    	62	6.1179698216735254	12.7345679012345679	0.6755	2
03-march    	25	5.345679012345679	9.659122085048011	0.6437	3
03-march    	45	5.3545953360768176	9.644718792866941	0.643	4
03-march    	75	7.0013717421124829	11.9547325102880658	0.6307	5
03-march    	80	5.5912208504801097	9.4094650205761317	0.6273	6
03-march    	21	5.7215363511659808	9.3312757201646091	0.6199	7
03-march    	47	7.2414266117969822	11.7366255144032922	0.6184	8
03-march    	33	5.7695473251028807	9.163923182441701	0.6136	9
03-march    	16	5.8113854595336077	9.1742112482853224	0.6122	10
04-april    	62	5.2503556187766714	13.6479374110953058	0.7222	1
04-april    	45	4.9944405837387074	9.9930507296733843	0.6668	2
04-april    	23	5.3829047949965254	9.6170952050034746	0.6411	3
04-april    	75	6.9346768589298124	11.985406532314107	0.6335	4
04-april    	56	7.1563585823488534	11.8325225851285615	0.6231	5
04-april    	58	7.1563585823488534	11.7526059763724809	0.6215	6
04-april    	82	5.7616400277970813	9.2105628908964559	0.6152	7
04-april    	47	7.3405142460041696	11.6580958999305073	0.6136	8
04-april    	31	5.9124391938846421	9.088950660180681	0.6059	9
04-april    	68	7.5531619179986101	11.4065323141070188	0.6016	10
05-may      	62	5.581989247311828	13.4139784946236559	0.7061	1
05-may      	47	6.0120967741935484	12.9637096774193548	0.6832	2
05-may      	56	6.6975806451612903	12.2298387096774194	0.6461	3
05-may      	67	9.7533602150537634	17.1485215053763441	0.6374	4
05-may      	45	5.5033602150537634	9.489247311827957	0.6329	5
05-may      	59	8.5537634408602151	14.4038978494623656	0.6274	6
05-may      	21	5.7372311827956989	9.2782258064516129	0.6179	7
05-may      	34	8.8111559139784946	14.1969086021505376	0.617	8
05-may      	51	7.2849462365591398	11.7130376344086022	0.6165	9
05-may      	75	7.3602150537634409	11.6344086021505376	0.6125	10
06-june     	22	7.9485038274182324	19.0424495476687543	0.7055	1
06-june     	62	5.906750173973556	12.9491997216423104	0.6867	2
06-june     	14	6.5476687543493389	12.4370215727209464	0.6551	3
06-june     	75	6.6868475991649269	12.3110647181628392	0.648	4
06-june     	47	6.8406402226861517	12.1544885177453027	0.6399	5
06-june     	56	6.8740431454418928	12.0855949895615866	0.6374	6
06-june     	48	5.4787752261656228	9.5135699373695198	0.6346	7
06-june     	2	9.8598326359832636	17.1136680613668061	0.6345	8
06-june     	45	5.5755045233124565	9.372303409881698	0.627	9
06-june     	82	5.7661795407098121	9.2296450939457203	0.6155	10
07-july     	62	6.3718897108271688	12.5891055817081372	0.6639	1
07-july     	22	9.4613315400134499	17.4714189643577673	0.6487	2
07-july     	75	6.7531943510423672	12.1297915265635508	0.6424	3
07-july     	67	9.6650975117686617	17.242098184263618	0.6408	4
07-july     	51	6.8735709482178884	12.1109616677874916	0.6379	5
07-july     	59	8.3053127101546738	14.6536650975117687	0.6383	6
07-july     	56	6.8655010087424344	12.0638870208473436	0.6373	7
07-july     	45	5.6146603900470746	9.3618022864828514	0.6251	8
07-july     	41	5.7209145931405514	9.2757229320780094	0.6185	9
07-july     	82	5.7720242098184264	9.2145258910558171	0.6149	10
08-august   	62	6.1285529715762274	12.8055555555555556	0.6763	1
08-august   	22	9.0736434108527132	17.7390180878552972	0.6616	2
08-august   	45	5.5704134366925065	9.4341085271317829	0.6288	3
08-august   	59	8.6421188630490956	14.3372093023255814	0.6239	4
08-august   	75	7.1453488372093023	11.8029715762273902	0.6229	5
08-august   	67	10.1511627906976744	16.7151162790697674	0.6222	6
08-august   	10	5.7674418604651163	9.2254521963824289	0.6153	7
08-august   	56	7.3475452196382429	11.6136950904392765	0.6125	8
08-august   	51	7.5219707057256991	11.4047936085219707	0.6026	9
08-august   	82	5.9811827956989247	8.9993279569892473	0.6007	10
09-september	62	5.6659649122807018	13.3424561403508772	0.7019	1
09-september	22	10.0807017543859649	16.9115789473684211	0.6265	2
09-september	32	4.1773049645390071	6.8283687943262411	0.6204	3
09-september	45	5.6968421052631579	9.303859649122807	0.6202	4
09-september	80	5.8382978723404255	9.1645390070921986	0.6109	5
09-september	59	8.9873684210526316	14.016140350877193	0.6093	6
09-september	67	10.5508771929824561	16.4385964912280702	0.6091	7
09-september	56	7.4757894736842105	11.5052631578947368	0.6061	8
09-september	41	5.9150877192982456	9.087719298245614	0.6057	9
09-september	51	7.68	11.3270175438596491	0.5959	10
10-october  	62	6.0161290322580645	12.9737903225806452	0.6832	1
10-october  	32	3.7567204301075269	7.2446236559139785	0.6585	2
10-october  	82	5.4852150537634409	9.4825268817204301	0.6335	3
10-october  	47	7.146505376344086	11.8494623655913978	0.6238	4
10-october  	63	7.3487903225806452	11.6391129032258065	0.613	5
10-october  	22	10.4717741935483871	16.4946236559139785	0.6117	6
