city	rok	miesiac	avg_min_temp_month	mom_proc_avg_min_temp_month	avg_max_temp_month	mom_proc_avg_max_temp_month	avg_mean_temp_month	mom_proc_avg_mean_temp_month	avg_min_wilgotnosc_month	mom_proc_avg_min_wilgotnos_month	avg_max_wilgotnosc_month	mom_proc_avg_max_wilgotnosc_month	avg_mean_wilgotnosc_month	mom_proc_avg_mean_wilgonosc_month	avg_mean_wind_speed_mph	mom_proc_avg_mean_wind_speed_mph	avg_max_wind_speed_mph	mom_proc_avg_max_wind_speed_mph	avg_mean_zachmurzenie	mom_avg_mean_zachmurzenie
San Francisco	2013	8	15.3333333333333333		23.6666666666666667		19.6666666666666667		54.6666666666666667		92		73.3333333333333333		13		26		3.3333333333333333	
San Francisco	2013	9	13.9666666666666667	-9	23.2666666666666667	-2	18.7666666666666667	-5	49.5	-9	85.1333333333333333	-7	67.5666666666666667	-8	12.4	-5	25.5333333333333333	-2	2.8	-16
San Francisco	2013	10	10.967741935483871	-21	21	-10	16.2903225806451613	-13	42.4516129032258065	-14	78.9354838709677419	-7	60.9354838709677419	-10	8.9354838709677419	-28	21.6129032258064516	-15	2.2903225806451613	-18
San Francisco	2013	11	9.8666666666666667	-10	18.2333333333333333	-13	14.1	-13	48.3666666666666667	14	82.5666666666666667	5	65.8	8	6.5333333333333333	-27	18.3666666666666667	-15	3.0333333333333333	32
San Francisco	2013	12	5.1290322580645161	-48	14.5806451612903226	-20	10.032258064516129	-29	42	-13	80.032258064516129	-3	61.1935483870967742	-7	5.1290322580645161	-21	15.6129032258064516	-15	2.1290322580645161	-30
San Francisco	2014	1	7.9354838709677419	55	17.8064516129032258	22	12.967741935483871	29	43.8387096774193548	4	81.1612903225806452	1	62.7419354838709677	3	4.6129032258064516	-10	14.8064516129032258	-5	2.7741935483870968	30
San Francisco	2014	2	9.4642857142857143	19	16.0357142857142857	-10	12.7857142857142857	-1	62.8571428571428571	43	92.1785714285714286	14	77.9285714285714286	24	8.9642857142857143	94	21.3571428571428571	44	5.2857142857142857	91
San Francisco	2014	3	10.1612903225806452	7	19.6774193548387097	23	15	17	46.8387096774193548	-25	82.3548387096774194	-11	65	-17	8.1935483870967742	-9	18.8709677419354839	-12	4.2580645161290323	-19
San Francisco	2014	4	10.2	0	19.9666666666666667	1	15.0666666666666667	0	48.6333333333333333	4	84.8666666666666667	3	67	3	8.6333333333333333	5	20.5333333333333333	9	3.9333333333333333	-8
San Francisco	2014	5	12.3225806451612903	21	22.2580645161290323	11	17.3870967741935484	15	42.9354838709677419	-12	80.3870967741935484	-5	61.8064516129032258	-8	10.6129032258064516	23	21.7096774193548387	6	3.4516129032258065	-12
San Francisco	2014	6	12.4666666666666667	1	21.9333333333333333	-1	17.4	0	51.1666666666666667	19	84.7333333333333333	5	68.2333333333333333	10	9.9	-7	20.7666666666666667	-4	3.4	-1
San Francisco	2014	7	15.0645161290322581	21	22.967741935483871	5	19.1612903225806452	10	54.6451612903225806	7	85.7096774193548387	1	70.4516129032258065	3	10.0967741935483871	2	20.2258064516129032	-3	4.3870967741935484	29
San Francisco	2014	8	15.7419354838709677	4	22.8709677419354839	0	19.3225806451612903	1	56.9354838709677419	4	83.8064516129032258	-2	70.7741935483870968	0	9.2580645161290323	-8	19.4193548387096774	-4	4.7419354838709677	8
San Francisco	2014	9	15.4	-2	23.5666666666666667	3	19.4666666666666667	1	54.5666666666666667	-4	86.1	3	70.7	0	8.2	-11	19.0666666666666667	-2	4.1	-14
San Francisco	2014	10	11.7096774193548387	-24	23.8709677419354839	1	17.967741935483871	-8	45.7096774193548387	-16	87.4838709677419355	2	66.8387096774193548	-5	6.3870967741935484	-22	16.7096774193548387	-12	2.9032258064516129	-29
San Francisco	2014	11	9	-23	18.6	-22	13.8333333333333333	-23	56.2333333333333333	23	89.6666666666666667	2	73.3	10	4.7666666666666667	-25	13.7	-18	4.1666666666666667	44
San Francisco	2014	12	9.3870967741935484	4	16.1612903225806452	-13	12.9032258064516129	-7	64.3225806451612903	14	92.2580645161290323	3	78.5161290322580645	7	7.0967741935483871	49	18	31	5.3225806451612903	28
San Francisco	2015	1	5.2903225806451613	-44	15.8709677419354839	-2	10.7741935483870968	-16	55.5161290322580645	-14	91.2903225806451613	-1	73.7741935483870968	-6	3.6774193548387097	-48	11.5161290322580645	-36	3.0967741935483871	-42
San Francisco	2015	2	8.25	56	18.2857142857142857	15	13.3214285714285714	24	53.9642857142857143	-3	90.8571428571428571	0	72.7142857142857143	-1	6.3214285714285714	72	17.5357142857142857	52	3.8928571428571429	26
San Francisco	2015	3	9.1935483870967742	11	20.2580645161290323	11	14.7741935483870968	11	47.967741935483871	-11	90.7096774193548387	0	69.6129032258064516	-4	6.3548387096774194	1	17.2580645161290323	-2	3.4516129032258065	-11
San Francisco	2015	4	9.1333333333333333	-1	19.4	-4	14.3333333333333333	-3	44	-8	86.2666666666666667	-5	65.4	-6	9.9333333333333333	56	21.4666666666666667	24	3.3333333333333333	-3
San Francisco	2015	5	11.1935483870967742	23	17.7096774193548387	-9	14.4838709677419355	1	58.7419354838709677	34	85.1290322580645161	-1	72.2580645161290323	10	11	11	20.3870967741935484	-5	6.0645161290322581	82
San Francisco	2015	6	12.9333333333333333	16	21.9	24	17.5333333333333333	21	54.0333333333333333	-8	88.8333333333333333	4	71.6	-1	9.3333333333333333	-15	20.2	-1	4.2333333333333333	-30
San Francisco	2015	7	15.6451612903225806	21	23.4838709677419355	7	19.4838709677419355	11	54.5483870967741935	1	85.1935483870967742	-4	70.2258064516129032	-2	10.5483870967741935	13	20.1290322580645161	0	4.8387096774193548	14
San Francisco	2015	8	16	2	24.8709677419354839	6	20.5483870967741935	5	50.5161290322580645	-7	84.4516129032258065	-1	67.8064516129032258	-3	9.7096774193548387	-8	19.3870967741935484	-4	4.4193548387096774	-9
Mountain View	2013	8	16.6666666666666667		28		21		52.3333333333333333		83.3333333333333333		70		3		15		2	
Mountain View	2013	9	12.6666666666666667	-24	26.3666666666666667	-6	19.1333333333333333	-9	45.4666666666666667	-13	79.9666666666666667	-4	65	-7	2.1	-30	13.6666666666666667	-9	1.5666666666666667	-22
Mountain View	2013	10	8.5806451612903226	-32	22.8387096774193548	-13	15.0645161290322581	-21	42.5483870967741935	-6	77.4193548387096774	-3	62.3548387096774194	-4	1.8387096774193548	-12	17	24	1.4193548387096774	-9
Mountain View	2013	11	6.6333333333333333	-23	19.1666666666666667	-16	12.1	-20	48	13	81.2666666666666667	5	67.6333333333333333	8	1.3333333333333333	-27	15.6	-8	1.0666666666666667	-25
Mountain View	2013	12	1.8387096774193548	-72	14.967741935483871	-22	7.6451612903225806	-37	44.2258064516129032	-8	77.5806451612903226	-5	63.3225806451612903	-6	1.4516129032258065	9	14.4516129032258065	-7	0.64516129032258064516	-40
Mountain View	2014	1	4.7741935483870968	160	18.4838709677419355	23	10.4193548387096774	36	44.4193548387096774	0	77.7419354838709677	0	63.6451612903225806	1	3.2903225806451613	127	15.6129032258064516	8	1.032258064516129	60
Mountain View	2014	2	7.75	62	17.7142857142857143	-4	12.2142857142857143	17	55.0714285714285714	24	82.6785714285714286	6	71.0714285714285714	12	4.0357142857142857	23	23.2857142857142857	49	3.25	215
Mountain View	2014	3	10.1290322580645161	31	20.8387096774193548	18	15.5806451612903226	28	40.3870967741935484	-27	81.5161290322580645	-1	61.1935483870967742	-14	5.3225806451612903	32	16.0967741935483871	-31	2.1612903225806452	-33
Mountain View	2014	4	10.8666666666666667	7	21.5	3	16.2333333333333333	4	42.2666666666666667	5	81.3	0	62.1666666666666667	2	5.9	11	17.8333333333333333	11	1.9666666666666667	-9
Mountain View	2014	5	12.9354838709677419	19	24.6129032258064516	14	18.7741935483870968	16	34.9032258064516129	-17	75.8387096774193548	-7	55.6129032258064516	-11	6.6129032258064516	12	19.6774193548387097	10	1.1612903225806452	-41
Mountain View	2014	6	13.7333333333333333	6	25.0333333333333333	2	19.6333333333333333	5	43.2	24	81.8	8	62.8	13	6.9666666666666667	5	19.6666666666666667	0	1	-14
Mountain View	2014	7	16.0645161290322581	17	25.8709677419354839	3	21.0645161290322581	7	50.5806451612903226	17	85.0967741935483871	4	68.0645161290322581	8	7.2903225806451613	5	18.7096774193548387	-5	1.8709677419354839	87
Mountain View	2014	8	16.1612903225806452	1	24.9032258064516129	-4	20.7419354838709677	-2	52.8064516129032258	4	86.3225806451612903	1	69.8064516129032258	3	6.5483870967741935	-10	19	2	2.3225806451612903	24
Mountain View	2014	9	15.6	-3	25.3333333333333333	2	20.6333333333333333	-1	48.8333333333333333	-8	87.7	2	68.5333333333333333	-2	5.3	-19	17.3333333333333333	-9	2.8	21
Mountain View	2014	10	12.8333333333333333	-18	25.2	-1	19.1666666666666667	-7	38.7333333333333333	-21	91.1	4	65.2	-5	3.9666666666666667	-25	14.2	-18	1.2	-57
Mountain View	2014	11	9.4	-27	19.8666666666666667	-21	14.6666666666666667	-23	45.9	19	94.2666666666666667	3	70.3333333333333333	8	2.9333333333333333	-26	11.7	-18	2.3	92
Mountain View	2014	12	9.3548387096774194	0	16.6451612903225806	-16	13.0967741935483871	-11	59.9032258064516129	31	92.9354838709677419	-1	76.7419354838709677	9	4.6774193548387097	59	14.8064516129032258	27	3.8709677419354839	68
Mountain View	2015	1	5.6451612903225806	-40	16.9032258064516129	2	11.3225806451612903	-14	48.6129032258064516	-19	88.6451612903225806	-5	68.9354838709677419	-10	2.0967741935483871	-55	10.1290322580645161	-32	1.2258064516129032	-68
Mountain View	2015	2	8.7857142857142857	56	19.6428571428571429	16	14.5357142857142857	28	47.2857142857142857	-3	86.3571428571428571	-3	67	-3	4	91	13.8571428571428571	37	1.7857142857142857	46
Mountain View	2015	3	9.6774193548387097	10	21.6129032258064516	10	15.8709677419354839	9	41.967741935483871	-11	84.3870967741935484	-2	63.4193548387096774	-5	4.6451612903225806	16	15.5483870967741935	12	1.032258064516129	-42
